"Myledaphus bipartitus","species","70.6","66","717"
"Cretolamna appendiculata","species","83.5","70.6","7903"
"Galeocerdo latidens","species","48.6","37.2","8420"
"Isurus spallanzani","species","56","47.8","8420"
"Galeocerdo latidens","species","56","47.8","8420"
"Galeocerdo latidens","species","56","47.8","8420"
"Odontaspis acutissima","species","15.97","13.82","8464"
"Odontaspis cuspidata","species","15.97","13.82","8464"
"Carcharocles megalodon","species","15.97","13.82","8464"
"Plicatolamna arcuata","species","83.5","70.6","8667"
"Cretolamna appendiculata","species","83.5","70.6","8667"
"Cretodus borodini","species","83.5","70.6","8667"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Squatirhina americana","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Squatirhina americana","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Squatirhina americana","species","83.5","70.6","9017"
"Myledaphus bipartitus","species","83.5","70.6","9017"
"Carcharodon hastalis","species","11.62","7.246","9111"
"Notidanus primigenius","species","11.62","7.246","9111"
"Squalicorax kaupi","species","83.6","72.1","9505"
"Pseudocorax affinis","species","83.6","72.1","9505"
"Squatina hassei","species","83.6","72.1","9505"
"Ginglymostoma globidens","species","83.6","72.1","9505"
"Cretolamna appendiculata","species","83.6","72.1","9505"
"Cretodus borodini","species","83.6","72.1","9505"
"Cantioscyllium decipiens","species","93.5","89.3","9547"
"Cretolamna appendiculata","species","93.5","89.3","9547"
"Squalicorax falcatus","species","93.5","89.3","9547"
"Cretolamna appendiculata","species","99.6","93.5","9572"
"Pseudoisurus tomosus","species","99.6","93.5","9572"
"Cretodus semiplicatus","species","99.6","93.5","9572"
"Cretoxyrhina mantelli","species","99.6","93.5","9572"
"Squalicorax curvatus","species","99.6","93.5","9572"
"Squalicorax falcatus","species","99.6","93.5","9572"
"Squatina hassei","species","83.6","66","9577"
"Squalicorax pristodontus","species","83.6","66","9577"
"Pseudocorax affinis","species","83.6","66","9577"
