"Chrysophris","23.03","5.333","6063"
"Onchus","423","419.2","6155"
"Onchus tenuistriatus","423","419.2","6155"
"Onchus tenuistriatus","423","419.2","6155"
"Onchus tenuistriatus","423","419.2","6155"
"Onchus murchisoni","423","419.2","6155"
"Onchus","419.2","410.8","4261"
"Isurus","11.608","5.333","5419"
"Myliobatis","11.608","5.333","5419"
"Squatina","11.608","5.333","5419"
"Galeorhinus","11.608","5.333","5419"
"Raja","11.608","5.333","5419"
"Squalus","11.608","5.333","5419"
"Carcharhinus","11.608","5.333","5419"
"Odontaspis","11.608","5.333","5419"
"Carcharhinus","11.608","5.333","5419"
"Odontaspis","11.608","5.333","5419"
"Negaprion","11.608","5.333","5419"
"Carcharocles megalodon","11.608","5.333","5419"
"Prionace","11.608","5.333","5419"
"Carcharodon","11.608","5.333","5419"
"Notidanus serratissimus","11.608","5.333","5419"
"Squatina","11.608","5.333","5419"
"Trygonidae","11.608","5.333","5419"
"Isurus","23.03","2.588","5438"
"Lamna","23.03","2.588","5438"
"Rhinoptera","23.03","2.588","5438"
"Trygonidae","5.333","3.6","5391"
"Squatina","5.333","3.6","5391"
"Squatina","5.333","3.6","5423"
"Cretorectolobus olsoni","83.5","70.6","5723"
"Eucrossorhinus microcuspidatus","83.5","70.6","5723"
"Odontaspis","83.5","70.6","5723"
"Carcharias","83.5","70.6","5723"
"Archaeolamna","83.5","70.6","18895"
"Myledaphus bipartitus","83.5","70.6","5723"
"Pseudohypolophus","105.3","93.5","13288"
"Cretorectolobus","105.3","93.5","13288"
"Myledaphus bipartitus","83.5","70.6","5929"
"Myliobatis","3.6","2.588","5666"
"Cretodus","93.5","83.5","17842"
"Carcharias","83.5","70.6","1488"
"Cretolamna","83.5","70.6","1488"
"Myledaphus","83.5","70.6","1488"
"Myledaphus","83.5","70.6","1488"
"Carcharodon carcharias","11.62","7.246","6853"
"Carcharocles megalodon","11.62","7.246","6853"
"Ginglymostoma delfortriei","11.62","7.246","6853"
"Hemipristis serra","11.62","7.246","6853"
"Galeocerdo contortus","11.62","7.246","6853"
"Galeocerdo aduncus","11.62","7.246","6853"
"Carcharhinus","11.62","7.246","6853"
"Sphyrna","11.62","7.246","6853"
"Sphyrna zygaena","11.62","7.246","6853"
"Isistius","11.62","7.246","6853"
"Myliobatis","11.62","7.246","6853"
"Rhinoptera","11.62","7.246","6853"
"Aetobatus arcuatus","11.62","7.246","6853"
"Squatina hassei","83.5","70.6","1691"
"Ginglymostoma globidens","83.5","70.6","54671"
"Odontaspis","83.5","70.6","1691"
"Synodontaspis holmdelensis","83.5","70.6","1691"
"Cretolamna appendiculata","83.5","70.6","1691"
"Cretodus","83.5","70.6","1691"
"Cretodus borodini","83.5","70.6","1691"
"Paranomotodon","83.5","70.6","54671"
"Pseudocorax","83.5","70.6","1691"
"Squalicorax kaupi","83.5","70.6","1691"
"Pseudohypolophus","83.5","70.6","1691"
"Sclerorhynchus","83.5","70.6","54671"
"Ginglymostoma","0.126","0.0117","1962"
"Carcharias taurus","0.126","0.0117","1962"
"Galeocerdo cuvier","0.126","0.0117","1962"
"Carcharhinus leucas","0.126","0.0117","1962"
"Carcharhinus obscurus","0.126","0.0117","1962"
"Carcharhinus","0.126","0.0117","1962"
"Negaprion brevirostris","0.126","0.0117","1962"
"Rhizoprionodon","0.126","0.0117","1962"
"Sphyrna","0.126","0.0117","1962"
"Aetobatus narinari","0.126","0.0117","1962"
"Myliobatidae","0.126","0.0117","1962"
