"accepted_name","accepted_rank","lng","lat"
"Isurus","genus","79.816666","8.283333"
"Hemipristis serra","species","79.816666","8.283333"
"Galeocerdo","genus","79.816666","8.283333"
"Myliobatis","genus","79.816666","8.283333"
"Trygon sinhaleyus","species","79.816666","8.283333"
 species not entered","Chrysophris","6063","79.816666"
"Onchus","genus","24.792778","59.072224"
"Onchus tenuistriatus","species","24.792778","59.072224"
"Onchus tenuistriatus","species","24.792778","59.072224"
"Onchus tenuistriatus","species","24.792778","59.072224"
"Onchus murchisoni","species","24.792778","59.072224"
"Onchus","genus","-61.966667","45.616669"
"Isurus","genus","18.150000","-32.976002"
"Myliobatis","genus","18.150000","-32.976002"
"Squatina","genus","18.150000","-32.976002"
"Galeorhinus","genus","18.150000","-32.976002"
"Raja","genus","18.150000","-32.976002"
"Squalus","genus","18.150000","-32.976002"
"Carcharhinus","genus","18.150000","-32.976002"
"Odontaspis","genus","18.150000","-32.976002"
"Carcharhinus","genus","18.150000","-32.976002"
"Odontaspis","genus","18.150000","-32.976002"
"Negaprion","genus","18.150000","-32.976002"
"Carcharocles megalodon","species","18.150000","-32.976002"
"Prionace","genus","18.150000","-32.976002"
"Carcharodon","genus","18.150000","-32.976002"
"Notidanus serratissimus","species","18.150000","-32.976002"
"Squatina","genus","18.150000","-32.976002"
"Trygonidae","family","18.150000","-32.976002"
"Isurus","genus","18.150000","-32.976002"
"Lamna","genus","18.150000","-32.976002"
"Rhinoptera","genus","18.150000","-32.976002"
"Trygonidae","family","18.150000","-32.976002"
"Squatina","genus","18.150000","-32.976002"
"Squatina","genus","18.150000","-32.976002"
"Cretorectolobus olsoni","species","-111.324570","50.815014"
"Eucrossorhinus microcuspidatus","species","-111.324570","50.815014"
"Odontaspis","genus","-111.324570","50.815014"
"Carcharias","genus","-111.324570","50.815014"
"Archaeolamna","genus","-111.324570","50.815014"
"Myledaphus bipartitus","species","-111.324570","50.815014"
"Pseudohypolophus","genus","-111.038002","39.051498"
"Cretorectolobus","genus","-111.038002","39.051498"
"Myledaphus bipartitus","species","-111.325546","50.781303"
"Myliobatis","genus","-82.514702","27.336000"
"Cretodus","genus","-103.000000","53.119999"
"Carcharias","genus","-109.297203","46.465099"
"Cretolamna","genus","-109.297203","46.465099"
"Myledaphus","genus","-109.297203","46.465099"
"Myledaphus","genus","-109.900002","46.200001"
"Carcharodon carcharias","species","-79.800003","9.350000"
"Carcharocles megalodon","species","-79.800003","9.350000"
"Ginglymostoma delfortriei","species","-79.800003","9.350000"
"Hemipristis serra","species","-79.800003","9.350000"
"Galeocerdo contortus","species","-79.800003","9.350000"
"Galeocerdo aduncus","species","-79.800003","9.350000"
"Carcharhinus","genus","-79.800003","9.350000"
"Sphyrna","genus","-79.800003","9.350000"
"Sphyrna zygaena","species","-79.800003","9.350000"
"Isistius","genus","-79.800003","9.350000"
"Myliobatis","genus","-79.800003","9.350000"
"Rhinoptera","genus","-79.800003","9.350000"
"Aetobatus arcuatus","species","-79.800003","9.350000"
"Squatina hassei","species","-74.300003","40.299999"
"Ginglymostoma globidens","species","-74.300003","40.299999"
"Odontaspis","genus","-74.300003","40.299999"
"Synodontaspis holmdelensis","species","-74.300003","40.299999"
