Species	Status
Hypogaleus	extinct
Hypoprion	extinct
Hypsobatis	extinct
Igdabatis	extinct
Igdabatis_indicus	extinct
Igdabatis_sigmodon	extinct
Isistius	extinct
Isistius_triangulus	extinct
Isogomphodon	extinct
Isurolamna	extinct
Isurus	extinct
Isurus_desori	extinct
Isurus_escheri	extinct
Isurus_oxyrhinchus	extinct
Isurus_praecursor	extinct
Isurus_spallanzani	extinct
Keasius_parvus	extinct
Keasius_taylori	extinct
Kirkella	extinct
Kirkella_elliptica	extinct
Kirkella_fillmorensis	extinct
Kirkella_indentata	extinct
Kirkella_typicalis	extinct
Lamna	extinct
Lamna_(Odontaspis)_bronnii	extinct
Lamna_(Odontaspis)_dubia	extinct
Lamna_(Odontaspis)_gracilis	extinct
Lamna_(Odontaspis)_hopei	extinct
Lamna_barnitzkei	extinct
Lamna_denticulata	extinct
Lamna_mediavia	extinct
Lamna_obliqua	extinct
Lamna_serra	extinct
Lamna_sulcata	extinct
Lamna_twiggsensis	extinct
Lamna_vincenti	extinct
Lamnidae	extinct
Lamniformes	extinct
Leidybatis	extinct
Leptostyrax	extinct
Leptostyrax_bicuspidatus	extinct
Manta	extinct
Manta_fragilis	extinct
Megachasma	extinct
Megachasma_applegatei	extinct
Megascyliorhinus	extinct
Megascyliorhinus_miocaenicus	extinct
Megasqualus	extinct
Mesiteia	extinct
Mesiteia_emiliae	extinct
Microdontaspis	extinct
Microscyliorhinus	extinct
Miroscyllium	extinct
Misrichthys	extinct
Mobula	extinct
Mobula_loupianensis	extinct
Moerigaleus_vitreodon	extinct
Moreyella	extinct
Moreyella_aviculiformis	extinct
Moreyella_trilobata	extinct
Moreyella_typicalis	extinct
Mustelus	extinct
Myledaphus	extinct
Myledaphus_bipartitus	extinct
Myliobatidae	extinct
Myliobatinae	extinct
Myliobatis	extinct
Myliobatis_aquila	extinct
Myliobatis_dixoni	extinct
Myliobatis_fastigiatus	extinct
Myliobatis_faujasi	extinct
Myliobatis_frangens	extinct
Myliobatis_gigas	extinct
Myliobatis_jugosus	extinct
Myliobatis_magister	extinct
Myliobatis_oligocaena	extinct
Myliobatis_pachyodon	extinct
Myliobatis_raouxi	extinct
Myliobatis_striatus	extinct
Myliobatis_sulcidens	extinct
Myliobatis_vicomicanus	extinct
Nebrius	extinct
Nebrius_obliquus	extinct
Negaprion	extinct
Negaprion_brevirostris	extinct
