Galeorhinus,Galeorhinus huberensis,35.55,39.65
Galeorhinus,Galeorhinus recticonus,39.65,48.25
Galeus,Galeus cuvieri,44.55,44.55
Galeus,Galeus porrectus,35.95,35.95
Galeus,Galeus robustus,35.95,35.95
Ginglymostoma,Ginglymostoma angolense,44.55,44.55
Ginglymostoma,Ginglymostoma blankenhorni,42.900000000000006,42.900000000000006
Ginglymostoma,Ginglymostoma delfortriei,8.470500000000001,19.5
Ginglymostoma,Ginglymostoma globidens,77.05,77.85
Ginglymostoma,Ginglymostoma obliquum,19.5,44.55
Ginglymostoma,Ginglymostoma parvula,99.4,99.4
Ginglymostoma,Ginglymostoma serra,14.1815,53.05
Ginglymostoma,Ginglymostoma subafricanum,52.2,57.25
Gladioserratus,Gladioserratus aptiensis,106.75,106.75
Gladioserratus,Gladioserratus magnus,101.4,101.4
Gryphodobatis,Gryphodobatis uncus,14.1815,14.1815
Hammondella,Hammondella crassa,301.29999999999995,301.29999999999995
Hammondella,Hammondella globosa,301.29999999999995,301.29999999999995
Hemipristis,Hemipristis lavigniensis,204.9,204.9
Hemipristis,Hemipristis serra,1.05,51.9
Hemipristis,Hemipristis wyattdurhami,19.5,39.65
Hemiscyllium,Hemiscyllium bruxelliensis,39.65,44.55
Hemiscyllium,Hemiscyllium hermani,77.05,77.85
Heptranchias,Heptranchias howelli,21.735,42.9
Heptranchias,Heptranchias perlo,1.2935,9.433
Heterodontus,Heterodontus lerichei,53.05,53.05
Heterodontus,Heterodontus pineti,35.95,35.95
Heterodontus,Heterodontus rugosus,77.05,77.05
Heterodontus,Heterodontus semirugosus,150.35,150.35
Heterodontus,Heterodontus woodwardi,35.95,44.55
Hexanchus,Hexanchus wiedenrothi,186.75,186.75
Igdabatis,Igdabatis indicus,68.3,69.05
Igdabatis,Igdabatis sigmodon,69.05,69.05
Isistius,Isistius triangulus,3.9605,19.5
Isurus,Isurus desori,4.4665,31.15
Isurus,Isurus escheri,4.4665,9.433
Isurus,Isurus oxyrhinchus,1.6845,35.55
Isurus,Isurus praecursor,35.55,51.9
