Genus,Species,Red List status
Scyliorhinus,torrei,LC
Scylliogaleus,quecketti,VU
Scymnodalatias,albicauda,DD
Scymnodalatias,garricki,DD
Scymnodalatias,oligodon,DD
Scymnodalatias,sherwoodi,DD
Scymnodon,ringens,DD
Sinobatis,borneensis,LC
Sinobatis,bulbicauda,LC
Sinobatis,caerulea,DD
Sinobatis,filicauda,DD
Sinobatis,melanosoma,LC
Somniosus,antarcticus,DD
Somniosus,longus,DD
Somniosus,microcephalus,NT
Somniosus,pacificus,DD
Somniosus,rostratus,DD
Sphyrna,corona,NT
Sphyrna,lewini,EN
Sphyrna,media,DD
Sphyrna,mokarran,EN
Sphyrna,tiburo,LC
Sphyrna,tudes,VU
Sphyrna,zygaena,VU
Spiniraja,whitleyi,VU
Squaliolus,aliae,LC
Squaliolus,laticaudus,LC
Squalus,acanthias,VU
Squalus,acutirostris,DD
Squalus,albifrons,DD
Squalus,altipinnis,DD
Squalus,blainville,DD
Squalus,brevirostris,DD
Squalus,bucephalus,DD
Squalus,chloroculus,NT
Squalus,crassispinus,DD
Squalus,cubensis,DD
Squalus,edmundsi,NT
Squalus,grahami,NT
Squalus,griffini,LC
Squalus,hemipinnis,NT
Squalus,japonicus,DD
Squalus,lalannei,DD
Squalus,megalops,DD
Squalus,melanurus,LC
Squalus,mitsukurii,DD
Squalus,montalbani,VU
Squalus,nasutus,DD
Squalus,notocaudatus,DD
Squalus,rancureli,NT
Squalus,raoulensis,LC
Squalus,suckleyi,LC
Squatina,aculeata,CR
Squatina,africana,DD
Squatina,albipunctata,VU
Squatina,argentina,EN
Squatina,armata,DD
Squatina,australis,LC
Squatina,californica,NT
Squatina,dumeril,DD
Squatina,formosa,EN
Squatina,guggenheim,EN
Squatina,japonica,VU
Squatina,legnota,DD
Squatina,nebulosa,VU
Squatina,oculata,CR
Squatina,pseudocellata,LC
Squatina,punctata,EN
Squatina,squatina,CR
Squatina,tergocellata,LC
Squatina,tergocellatoides,VU
Stegostoma,fasciatum,EN
Sutorectus,tentaculatus,LC
Sympterygia,acuta,VU
Sympterygia,bonapartii,DD
Sympterygia,brevicaudata,DD
Sympterygia,lima,DD
Taeniura,lymma,NT
Taeniurops,grabata,DD
Taeniurops,meyeni,VU
Telatrygon,acutirostra,NT
Telatrygon,zugei,NT
Temera,hardwickii,VU
Tetronarce,californica,LC
Tetronarce,fairchildi,DD
Tetronarce,formosa,DD
Tetronarce,macneilli,DD
Tetronarce,nobiliana,DD
Tetronarce,puelcha,DD
Tetronarce,tokionis,DD
Tetronarce,tremens,DD
Torpedo,adenensis,NT
Torpedo,andersoni,DD
Torpedo,bauchotae,DD
Torpedo,fuscomaculata,DD
Torpedo,mackayana,DD
Torpedo,marmorata,DD
Torpedo,microdiscus,DD
Torpedo,panthera,DD
Torpedo,sinuspersici,DD
Torpedo,suessii,DD
Torpedo,torpedo,DD
Triaenodon,obesus,NT
Triakis,acutipinna,EN
Triakis,maculata,VU
Triakis,megalopterus,NT
Triakis,scyllium,LC
Triakis,semifasciata,LC
Trigonognathus,kabeyai,DD
Trygonoptera,galba,DD
Trygonoptera,imitata,NT
Trygonoptera,mucosa,LC
Trygonoptera,ovalis,LC
Trygonoptera,personata,LC
Trygonoptera,testacea,LC
Trygonorrhina,dumerilii,LC
Trygonorrhina,fasciata,LC
Typhlonarke,aysoni,DD
Typhlonarke,tarakea,DD
Urobatis,concentricus,DD
Urobatis,halleri,LC
Urobatis,jamaicensis,LC
Urobatis,maculatus,DD
Urobatis,marmoratus,DD
Urobatis,tumbesensis,DD
Urogymnus,asperrimus,VU
Urogymnus,dalyensis,LC
Urogymnus,granulatus,VU
Urogymnus,lobistomus,VU
Urogymnus,polylepis,EN
Urolophus,armatus,DD
Urolophus,aurantiacus,NT
Urolophus,bucculentus,VU
Urolophus,circularis,LC
Urolophus,cruciatus,LC
Urolophus,deforgesi,LC
Urolophus,expansus,LC
Urolophus,flavomosaicus,LC
Urolophus,gigas,LC
Urolophus,javanicus,CR
Urolophus,kaianus,DD
Urolophus,kapalensis,NT
Urolophus,lobatus,LC
Urolophus,mitosis,LC
Urolophus,neocaledoniensis,LC
Urolophus,orarius,EN
Urolophus,papilio,LC
Urolophus,paucimaculatus,LC
Urolophus,piperatus,LC
Urolophus,sufflavus,VU
Urolophus,viridis,VU
Urolophus,westraliensis,LC
Urotrygon,aspidura,DD
Urotrygon,chilensis,DD
Urotrygon,microphthalmum,LC
Urotrygon,munda,DD
Urotrygon,nana,DD
Urotrygon,reticulata,VU
Urotrygon,rogersi,DD
Urotrygon,simulatrix,VU
Urotrygon,venezuelae,NT
Zameus,ichiharai,DD
Zameus,squamulosus,DD
Zanobatus,schoenleinii,DD
Zapteryx,brevirostris,VU
Zapteryx,exasperata,DD
Zapteryx,xyster,DD
Zearaja,chilensis,VU
Zearaja,maugeana,EN
Zearaja,nasutus,LC
