Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
44652,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,frerichsi,"(Krefft, 1968)",,,,,Raja frerichsi,Thickbody Skate,,,DD,,3.1,2004,unknown,N
161490,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,georgiana,"(Norman, 1938)",,,,,Raja georgiana  ,Antarctic Starry Skate,,,DD,,3.1,2009,unknown,N
63119,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,hyperborea,(Collett 1879),,,,,Raja hyperborea  ,"Arctic Skate, Boreal Skate, Blackbelly Skate","Raie Arctique, Raie Boréale",Raya Ártica,LC,,3.1,2016,unknown,N
161491,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,jenseni,"(Bigelow & Schroeder, 1950)",,,,,Raja jenseni  ,Jensen's Skate,"Raie à Queue Courte, Raie de Jensen",,LC,,3.1,2009,unknown,N
161542,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,radiata,"(Donovan, 1808)",,,,,Raja radiata  ,"Thorny Skate, Starry Ray",,,VU,A2b,3.1,2009,decreasing,N
161340,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,reversa,"(Lloyd, 1906)",,,,,Raia reversa  ,Reversed Skate,,,DD,,3.1,2009,unknown,N
161322,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,robertsi,"(Hulley, 1970)",,,,,Raja robertsi  ,Bigmouth Skate,,,LC,,3.1,2009,unknown,N
161392,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Amblyraja,taaf,"(Meissner, 1987)",,,,,Raja taaf  ,Whiteleg Skate,,,DD,,3.1,2009,unknown,N
161481,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,americanus,"Bigelow & Schroeder, 1962",,,,,"",American Legskate,,,DD,,3.1,2009,unknown,N
161356,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,donghaiensis,"(Deng, Xiong & Zhan, 1983)",,,,,"",East China Legskate,,,DD,,3.1,2009,unknown,N
161681,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,folirostris,"(Bigelow & Schroeder, 1951)",,,,,Springeria folirostris  ,Leafnose Legskate,,,DD,,3.1,2009,unknown,N
161494,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,longirostris,"Bigelow & Schroeder, 1962",,,,,"",Longnose Legskate,,,DD,,3.1,2009,unknown,N
44600,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,marmoratus,"(von Bonde & Swart, 1923)",,,,,"",Spotted Legskate,,,DD,,3.1,2004,unknown,N
161603,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,nanhaiensis,"(Meng & Li, 1981)",,,,,Springeria nanhaiensis  ,,,,DD,,3.1,2009,unknown,N
44601,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,ori,"(Wallace, 1967)",,,,,"",Black Legskate,,,DD,,3.1,2004,unknown,N
161670,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,stenosoma,"(Li & Hu, 1982)",,,,,"",Narrow Legskate,,,DD,,3.1,2009,unknown,N
39389,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,PRISTIDAE,Anoxypristis,cuspidata,"(Latham, 1794)",,,,,Pristis cuspidatus  ,"Narrow Sawfish, Pointed Sawfish, Knifetooth Sawfish",Poisson-scie,"Pejepeine, Pez Sierra",EN,A2cd,3.1,2013,decreasing,N
41718,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,albisoma,"Nakaya & Séret, 1999",,,,,"",White-bodied Catshark,,,LC,,3.1,2015,unknown,N
42701,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,ampliceps,"Sasahara, Sato & Nakaya, 2008",,,,,"",Roughskin Catshark,,,LC,,3.1,2015,unknown,N
44207,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,aphyodes,"Nakaya & Stehmann, 1998",,,,,"",White Ghost Catshark,,,LC,,3.1,2015,unknown,N
42704,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,australis,"Sato, Nakaya & Yorozu, 2008",,,,,"",Pinocchio Catshark,,,LC,,3.1,2016,unknown,N
44209,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,brunneus,"(Gilbert, 1892)",,,,,Catulus brunneus  ,Brown Catshark,Holbiche Brune,Pejegato Marrón,DD,,3.1,2015,unknown,N
42703,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,bucephalus,"White, Last & Pogonoski, 2008",,,,,"",Bighead Catshark,,,DD,,3.1,2015,unknown,N
44572,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,canutus,"Springer & Heemstra, 1979",,,,,"",Hoary Catshark,Holbiche Grise,Pejegato Cano,DD,,3.1,2007,unknown,N
41719,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,exsanguis,"Sato, Nakaya & Stewart, 1999",,,,,Apristurus sp. D subspecies ,"Deepwater Catshark, Pale Catshark",,,LC,,3.1,2003,unknown,N
44210,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,fedorovi,"Dolganov, 1983",,,,,"",Stout Catshark,,,DD,,3.1,2004,unknown,N
44211,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,gibbosus,"Meng, Chu & Li, 1985",,,,,"",Humpback Catshark,,,DD,,3.1,2004,unknown,N
44212,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,herklotsi,"(Fowler, 1934)",,,,,Pentanchus herklotsi  ,Longfin Catshark,Holbiche Á Longues Nageoires,Pejegato Aletón,DD,,3.1,2004,unknown,N
161470,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,indicus,"(Brauer, 1906)",,,,,Scylliorhinus indicus  ,Smallbelly Catshark,,,DD,,3.1,2009,unknown,N
44213,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,internatus,"Deng, Xiong & Zhan, 1988",,,,,"",Shortnose Demon Catshark,,,DD,,3.1,2004,unknown,N
44214,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,investigatoris,"(Misra, 1962)",,,,,Pentanchus investigatoris  ,Broadnose Catshark,Holbiche Platnez,Pejegato Ato,DD,,3.1,2004,unknown,N
161367,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,japonicus,"Nakaya, 1975",,,,,"",Japanese Catshark,,,DD,,3.1,2009,unknown,N
44215,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,kampae,"Taylor, 1972",,,,,"",Longnose Catshark,Holbiche Tapir,Pejegato Trompudo,DD,,3.1,2015,unknown,N
44216,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,laurussonii,"(Saemundsson, 1922)",,,,,Apristurus atlanticus  |Apristurus maderensis  |Scyllium laurussonii  ,"Icelandic Catshark, Madeira Catshark, Flathead Catshark","Roussette De Madère, Roussette D'Islande","Pejegato De Madera, Pejegato Islándico",DD,,3.1,2007,unknown,N
44217,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,longicephalus,"Nakaya, 1975",,,,,"","Longhead Catshark, Smoothbelly Catshark",Holbiche À Grande Tête,Pejegato Cabezón,LC,,3.1,2015,unknown,N
