"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"41371","occ","","","3260","Scyliorhinus","genus","34663","Early Eocene","","55.8","48.6","151"
"41372","occ","","","3260","Physogaleus","genus","34656","Early Eocene","","55.8","48.6","151"
"41373","occ","","","3260","Galeorhinus","genus","83177","Early Eocene","","55.8","48.6","151"
"41374","occ","","","3260","Galeorhinus","genus","83177","Early Eocene","","55.8","48.6","151"
"41375","occ","","","3260","Squatina prima","species","156475","Early Eocene","","55.8","48.6","151"
"41449","occ","","","3263","Myliobatis","genus","34741","Middle Eocene","","48.6","37.2","153"
"41488","occ","","","3265","Abdounia","genus","34638","Middle Eocene","","48.6","37.2","153"
"41526","occ","","","3257","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149"
"41527","occ","","","3257","Nebrius","genus","34587","Early Eocene","Middle Eocene","55.8","37.2","149"
"41529","occ","","","3257","Hemiscyllium","genus","34585","Early Eocene","Middle Eocene","55.8","37.2","149"
"41530","occ","","","3257","Palaeorhincodon","genus","34589","Early Eocene","Middle Eocene","55.8","37.2","149"
"41531","occ","","","3257","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149"
"41532","occ","","","3257","Eostegostoma","genus","34583","Early Eocene","Middle Eocene","55.8","37.2","149"
"41533","occ","","","3257","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149"
"41534","occ","","","3257","Mustelus","genus","34650","Early Eocene","Middle Eocene","55.8","37.2","149"
"41535","occ","","","3257","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149"
"41536","occ","","","3257","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149"
"41537","occ","","","3257","Lamna","genus","34615","Early Eocene","Middle Eocene","55.8","37.2","149"
"41539","occ","","","3257","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149"
"41540","occ","","","3257","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149"
"41543","occ","","","3257","Carcharias acutissima","species","97236","Early Eocene","Middle Eocene","55.8","37.2","149"
"41544","occ","","","3257","Carcharhinidae","family","83183","Early Eocene","Middle Eocene","55.8","37.2","149"
"41545","occ","","","3257","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149"
"41546","occ","","","3257","Galeocerdo latidens","species","154351","Early Eocene","Middle Eocene","55.8","37.2","149"
"41547","occ","","","3257","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149"
"41548","occ","","","3257","Squatina prima","species","156475","Early Eocene","Middle Eocene","55.8","37.2","149"
"41551","occ","","","3257","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149"
"41553","occ","","","3257","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149"
"41554","occ","","","3257","Aetobatus","genus","34721","Early Eocene","Middle Eocene","55.8","37.2","149"
"41555","occ","","","3257","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149"
"41556","occ","","","3258","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149"
"41557","occ","","","3258","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149"
"41558","occ","","","3258","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149"
"41559","occ","","","3258","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149"
"41560","occ","","","3258","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149"
"41561","occ","","","3258","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149"
"41562","occ","","","3258","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149"
"41563","occ","","","3258","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149"
"41564","occ","","","3258","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149"
"41565","occ","","","3258","Scoliodon","genus","100438","Early Eocene","Middle Eocene","55.8","37.2","149"
"41566","occ","","","3258","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149"
"41571","occ","","","3258","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149"
"41572","occ","","","3258","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149"
"41582","occ","","","3256","Squalus minor","species","154376","Early Eocene","Middle Eocene","55.8","37.2","149"
"41583","occ","","","3256","Nebrius","genus","34587","Early Eocene","Middle Eocene","55.8","37.2","149"
"41584","occ","","","3256","Hemiscyllium","genus","34585","Early Eocene","Middle Eocene","55.8","37.2","149"
"41585","occ","","","3256","Palaeorhincodon","genus","34589","Early Eocene","Middle Eocene","55.8","37.2","149"
"41586","occ","","","3256","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149"
"41587","occ","","","3256","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149"
"41588","occ","","","3256","Scyliorhinus","genus","34663","Early Eocene","Middle Eocene","55.8","37.2","149"
"41589","occ","","","3256","Mustelus","genus","34650","Early Eocene","Middle Eocene","55.8","37.2","149"
"41590","occ","","","3256","Triakis","genus","34666","Early Eocene","Middle Eocene","55.8","37.2","149"
"41591","occ","","","3256","Isurus","genus","34613","Early Eocene","Middle Eocene","55.8","37.2","149"
"41592","occ","","","3256","Lamna","genus","34615","Early Eocene","Middle Eocene","55.8","37.2","149"
"41594","occ","","","3256","Striatolamia macrota","species","66716","Early Eocene","Middle Eocene","55.8","37.2","149"
"41595","occ","","","3256","Carcharias","genus","64190","Early Eocene","Middle Eocene","55.8","37.2","149"
"41596","occ","","","3256","Carcharias acutissima","species","97236","Early Eocene","Middle Eocene","55.8","37.2","149"
"41597","occ","","","3256","Carcharhinidae","family","83183","Early Eocene","Middle Eocene","55.8","37.2","149"
"41598","occ","","","3256","Physogaleus","genus","34656","Early Eocene","Middle Eocene","55.8","37.2","149"
"41599","occ","","","3256","Galeocerdo latidens","species","154351","Early Eocene","Middle Eocene","55.8","37.2","149"
"41600","occ","","","3256","Galeorhinus","genus","83177","Early Eocene","Middle Eocene","55.8","37.2","149"
"41601","occ","","","3256","Squatina prima","species","156475","Early Eocene","Middle Eocene","55.8","37.2","149"
"41606","occ","","","3256","Trygon jaekeli","species","153968","Early Eocene","Middle Eocene","55.8","37.2","149"
"41607","occ","","","3256","Aetobatus","genus","34721","Early Eocene","Middle Eocene","55.8","37.2","149"
"41608","occ","","","3256","Myliobatis","genus","34741","Early Eocene","Middle Eocene","55.8","37.2","149"
"41613","occ","","","3257","Abdounia","genus","34638","Early Eocene","Middle Eocene","55.8","37.2","149"
"41614","occ","","","3257","Scoliodon","genus","100438","Early Eocene","Middle Eocene","55.8","37.2","149"
"45307","occ","","","3590","Squalicorax kaupi","species","210092","Late Campanian","","83.5","70.6","215"
"45308","occ","","","3590","Squalicorax pristodontus","species","110986","Late Campanian","","83.5","70.6","215"
"45309","occ","","","3590","Cretolamna appendiculata","species","117676","Late Campanian","","83.5","70.6","215"
"45875","occ","","","3641","Odontaspididae","family","63010","Campanian","Early Maastrichtian","83.6","66","222"
"68130","occ","","","4868","Striatolamia macrota","species","66716","Lutetian","","47.8","41.3","289"
