"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"586040","occ","","","61769","Pseudohypolophus","genus","34703","Early Santonian","Middle Santonian","85.8","83.5","17807"
"586375","occ","","","61807","Squatina hassei","species","63024","Late Maastrichtian","","70.6","66","17824"
"586376","occ","","","61807","Heterodontus","genus","34572","Late Maastrichtian","","70.6","66","17824"
"586377","occ","","","61807","Chiloscyllium","genus","34581","Late Maastrichtian","","70.6","66","17824"
"586378","occ","","","61807","Hemiscyllium","genus","34585","Late Maastrichtian","","70.6","66","17824"
"586379","occ","","","61807","Brachaelurus","genus","34578","Late Maastrichtian","","70.6","66","17824"
"586380","occ","","","61807","Ginglymostoma","genus","34584","Late Maastrichtian","","70.6","66","17824"
"586381","occ","","","61807","Pseudodontaspis","genus","86141","Late Maastrichtian","","70.6","66","17824"
"586384","occ","","","61807","Cretolamna appendiculata","species","117676","Late Maastrichtian","","70.6","66","17824"
"586385","occ","","","61807","Serratolamna","genus","86150","Late Maastrichtian","","70.6","66","17824"
"586386","occ","","","61807","Squalicorax kaupi","species","210092","Late Maastrichtian","","70.6","66","17824"
"586389","occ","","","61807","Sclerorhynchus","genus","34712","Late Maastrichtian","","70.6","66","17824"
"586448","occ","","","61819","Squalicorax","genus","34633","Late Cenomanian","","99.6","93.5","17827"
"586449","occ","","","61819","Carcharias","genus","64190","Late Cenomanian","","99.6","93.5","17827"
"586450","occ","","","61819","Cretodus semiplicatus","species","131781","Late Cenomanian","","99.6","93.5","17827"
"586451","occ","","","61819","Cenocarcharias","genus","105797","Late Cenomanian","","99.6","93.5","17827"
"586452","occ","","","61819","Cretodus","genus","34607","Late Cenomanian","","99.6","93.5","17827"
"586453","occ","","","61819","Cretolamna appendiculata","species","117676","Late Cenomanian","","99.6","93.5","17827"
"586454","occ","","","61819","Protolamna","genus","34629","Late Cenomanian","","99.6","93.5","17827"
"586455","occ","","","61819","Onchopristis dunklei","species","154139","Late Cenomanian","","99.6","93.5","17827"
"586565","occ","","","61844","Squatirhina","genus","34714","Early Campanian","","83.5","70.6","17858"
"586566","occ","","","61844","Squatirhina americana","species","67743","Early Campanian","","83.5","70.6","17858"
"586567","occ","","","61844","Myledaphus","genus","34808","Early Campanian","","83.5","70.6","17858"
"590163","occ","","","3867","Hemiscyllium","genus","34585","Middle Campanian","","83.5","70.6","17990"
"590164","occ","","","3867","Ginglymostoma globidens","species","117668","Middle Campanian","","83.5","70.6","17990"
"590165","occ","","","3867","Carcharias","genus","64190","Middle Campanian","","83.5","70.6","17990"
"590168","occ","","","3867","Cretolamna appendiculata","species","117676","Middle Campanian","","83.5","70.6","17990"
"590169","occ","","","3867","Pseudocorax","genus","34630","Middle Campanian","","83.5","70.6","17990"
"590170","occ","","","3867","Squalicorax kaupi","species","210092","Middle Campanian","","83.5","70.6","17990"
"590172","occ","","","3867","Sclerorhynchus","genus","34712","Middle Campanian","","83.5","70.6","17990"
"590991","occ","","","62459","Carcharocles","genus","34603","Middle Eocene","Late Eocene","48.6","33.9","18016"
"590992","occ","","","62459","Isurus praecursor","species","124962","Middle Eocene","Late Eocene","48.6","33.9","18016"
"590993","occ","","","62459","Cretolamna","genus","34608","Middle Eocene","Late Eocene","48.6","33.9","18016"
"590998","occ","","","62459","Abdounia","genus","34638","Middle Eocene","Late Eocene","48.6","33.9","18016"
"590999","occ","","","62459","Carcharhinus","genus","34640","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591010","occ","","","62459","Carcharhinus","genus","34640","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591011","occ","","","62459","Misrichthys","genus","34618","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591012","occ","","","62459","Physogaleus","genus","34656","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591013","occ","","","62459","Rhizoprionodon","genus","34662","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591014","occ","","","62459","Hemipristis","genus","34646","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591016","occ","","","62459","Myliobatis","genus","34741","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591017","occ","","","62459","Myliobatis","genus","34741","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591067","occ","","","62468","Carcharocles","genus","34603","Late Eocene","","37.2","33.9","18016"
"591068","occ","","","62468","Isurus praecursor","species","124962","Late Eocene","","37.2","33.9","18016"
"591069","occ","","","62468","Cretolamna","genus","34608","Late Eocene","","37.2","33.9","18016"
"591071","occ","","","62468","Abdounia","genus","34638","Late Eocene","","37.2","33.9","18016"
"591072","occ","","","62468","Carcharhinus","genus","34640","Late Eocene","","37.2","33.9","18016"
"591073","occ","","","62468","Galeocerdo latidens","species","154351","Late Eocene","","37.2","33.9","18016"
"591074","occ","","","62468","Galeocerdo","genus","34643","Late Eocene","","37.2","33.9","18016"
"591075","occ","","","62468","Misrichthys","genus","34618","Late Eocene","","37.2","33.9","18016"
"591076","occ","","","62468","Physogaleus","genus","34656","Late Eocene","","37.2","33.9","18016"
"591098","occ","","","62468","Rhizoprionodon","genus","34662","Late Eocene","","37.2","33.9","18016"
"591099","occ","","","62468","Hemipristis","genus","34646","Late Eocene","","37.2","33.9","18016"
"591101","occ","","","62468","Anoxypristis","genus","34676","Late Eocene","","37.2","33.9","18016"
"591102","occ","","","62468","Pristis lathami","species","100810","Late Eocene","","37.2","33.9","18016"
"591122","occ","","","62468","Pristis fajumensis","species","86289","Late Eocene","","37.2","33.9","18016"
"591123","occ","","","62468","Myliobatis","genus","34741","Late Eocene","","37.2","33.9","18016"
"591124","occ","","","62468","Myliobatis","genus","34741","Late Eocene","","37.2","33.9","18016"
"591125","occ","","","62468","Aetobatis irregularis","species","132643","Late Eocene","","37.2","33.9","18016"
"591126","occ","","","62468","Aetobatus","genus","34721","Late Eocene","","37.2","33.9","18016"
"591127","occ","","","62459","Propristis schweinfurthi","species","86290","Middle Eocene","Late Eocene","48.6","33.9","18016"
"591651","occ","","","62481","Myledaphus","genus","34808","Late Campanian","","83.5","70.6","18036"
"591658","occ","","","62538","Eostegostoma","genus","34583","Late Santonian","","85.8","83.5","18052"
"591659","occ","","","62538","Cantioscyllium","genus","34579","Late Santonian","","85.8","83.5","18052"
"591661","occ","","","62538","Cretolamna appendiculata","species","117676","Late Santonian","","85.8","83.5","18052"
"591662","occ","","","62538","Cretoxyrhina mantelli","species","124956","Late Santonian","","85.8","83.5","18052"
"591663","occ","","","62538","Squalicorax kaupi","species","210092","Late Santonian","","85.8","83.5","18052"
"591668","occ","","","62538","Pseudohypolophus","genus","34703","Late Santonian","","85.8","83.5","18052"
"591670","occ","","","62538","Sclerorhynchus","genus","34712","Late Santonian","","85.8","83.5","18052"
"591749","occ","","","62573","Squalus","genus","34562","Middle Eocene","","48.6","37.2","18064"
"591750","occ","","","62573","Isistius","genus","34548","Middle Eocene","","48.6","37.2","18064"
"591751","occ","","","62573","Squatina prima","species","156475","Middle Eocene","","48.6","37.2","18064"
"591752","occ","","","62573","Heterodontus","genus","34572","Middle Eocene","","48.6","37.2","18064"
"591753","occ","","","62573","Palaeorhincodon","genus","34589","Middle Eocene","","48.6","37.2","18064"
"591755","occ","","","62573","Odontaspis winkleri","species","132648","Middle Eocene","","48.6","37.2","18064"
"591756","occ","","","62573","Striatolamia macrota","species","66716","Middle Eocene","","48.6","37.2","18064"
"591757","occ","","","62573","Carcharias","genus","64190","Middle Eocene","","48.6","37.2","18064"
"591758","occ","","","62573","Isurus praecursor","species","124962","Middle Eocene","","48.6","37.2","18064"
"591764","occ","","","62573","Notorhynchus","genus","34529","Middle Eocene","","48.6","37.2","18064"
"591765","occ","","","62573","Cretolamna","genus","34608","Middle Eocene","","48.6","37.2","18064"
"591766","occ","","","62573","Carcharocles","genus","34603","Middle Eocene","","48.6","37.2","18064"
"591767","occ","","","62573","Scyliorhinus","genus","34663","Middle Eocene","","48.6","37.2","18064"
"591768","occ","","","62573","Galeorhinus","genus","83177","Middle Eocene","","48.6","37.2","18064"
"591769","occ","","","62573","Abdounia","genus","34638","Middle Eocene","","48.6","37.2","18064"
"591770","occ","","","62573","Abdounia","genus","34638","Middle Eocene","","48.6","37.2","18064"
"591771","occ","","","62573","Abdounia","genus","34638","Middle Eocene","","48.6","37.2","18064"
"591772","occ","","","62573","Galeocerdo latidens","species","154351","Middle Eocene","","48.6","37.2","18064"
"591773","occ","","","62573","Physogaleus","genus","34656","Middle Eocene","","48.6","37.2","18064"
"591774","occ","","","62573","Rhizoprionodon","genus","34662","Middle Eocene","","48.6","37.2","18064"
"591779","occ","","","62573","Pristis","genus","34700","Middle Eocene","","48.6","37.2","18064"
"591780","occ","","","62573","Anoxypristis","genus","34676","Middle Eocene","","48.6","37.2","18064"
"591782","occ","","","62573","Aetobatis irregularis","species","132643","Middle Eocene","","48.6","37.2","18064"
"591783","occ","","","62573","Aktaua","genus","86152","Middle Eocene","","48.6","37.2","18064"
"591790","occ","","","62573","Myliobatis","genus","34741","Middle Eocene","","48.6","37.2","18064"
"591791","occ","","","62573","Rhinoptera","genus","34745","Middle Eocene","","48.6","37.2","18064"
"591792","occ","","","62573","Archaeomanta melenhorsti","species","154062","Middle Eocene","","48.6","37.2","18064"
"591793","occ","","","62573","Burnhamia daviesi","species","154725","Middle Eocene","","48.6","37.2","18064"
"591898","occ","","","62637","Selachii","unranked clade","80574","Hauterivian","","132.9","129.4","18071"
"593092","occ","","","62840","Hexanchus","genus","34526","Early Paleocene","","66","61.7","18111"
"593093","occ","","","62840","Hexanchus","genus","34526","Early Paleocene","","66","61.7","18111"
"593094","occ","","","62840","Weltonia","genus","34535","Early Paleocene","","66","61.7","18111"
"593095","occ","","","62840","Squalus minor","species","154376","Early Paleocene","","66","61.7","18111"
"593096","occ","","","62840","Carcharias","genus","64190","Early Paleocene","","66","61.7","18111"
"593098","occ","","","62840","Cretolamna appendiculata","species","117676","Early Paleocene","","66","61.7","18111"
"593099","occ","","","62840","Scyliorhinus","genus","34663","Early Paleocene","","66","61.7","18111"
"593100","occ","","","62840","Palaeogaleus vincenti","species","154380","Early Paleocene","","66","61.7","18111"
"593544","occ","","","62872","Ginglymostoma subafricanum","species","156495","Late Paleocene","","58.7","55.8","18130"
"593545","occ","","","62872","Nebrius","genus","34587","Late Paleocene","","58.7","55.8","18130"
"593547","occ","","","62872","Odontaspis","genus","34620","Late Paleocene","","58.7","55.8","18130"
"593548","occ","","","62872","Odontaspis","genus","34620","Late Paleocene","","58.7","55.8","18130"
"593549","occ","","","62872","Odontaspis","genus","34620","Late Paleocene","","58.7","55.8","18130"
"593550","occ","","","62872","Odontaspis","genus","34620","Late Paleocene","","58.7","55.8","18130"
"593551","occ","","","62872","Odontaspis winkleri","species","132648","Late Paleocene","","58.7","55.8","18130"
"593552","occ","","","62872","Odontaspis","genus","34620","Late Paleocene","","58.7","55.8","18130"
"593553","occ","","","62872","Pseudodontaspis lauderdalensis","species","86142","Late Paleocene","","58.7","55.8","18130"
"593554","occ","","","62872","Pseudodontaspis","genus","86141","Late Paleocene","","58.7","55.8","18130"
"593555","occ","","","62872","Striatolamia macrota","species","66716","Late Paleocene","","58.7","55.8","18130"
"593556","occ","","","62872","Carcharias","genus","64190","Late Paleocene","","58.7","55.8","18130"
"593557","occ","","","62872","Carcharias","genus","64190","Late Paleocene","","58.7","55.8","18130"
"593558","occ","","","62872","Carcharias","genus","64190","Late Paleocene","","58.7","55.8","18130"
"593559","occ","","","62872","Carcharias","genus","64190","Late Paleocene","","58.7","55.8","18130"
"593561","occ","","","62872","Cretolamna","genus","34608","Late Paleocene","","58.7","55.8","18130"
"593562","occ","","","62872","Cretolamna","genus","34608","Late Paleocene","","58.7","55.8","18130"
"593563","occ","","","62872","Galeorhinus affinis","species","83178","Late Paleocene","","58.7","55.8","18130"
"593564","occ","","","62872","Galeorhinus","genus","83177","Late Paleocene","","58.7","55.8","18130"
"593565","occ","","","62872","Galeorhinus","genus","83177","Late Paleocene","","58.7","55.8","18130"
"593566","occ","","","62872","Galeorhinus","genus","83177","Late Paleocene","","58.7","55.8","18130"
"593567","occ","","","62872","Mustelus","genus","34650","Late Paleocene","","58.7","55.8","18130"
"593568","occ","","","62872","Abdounia","genus","34638","Late Paleocene","","58.7","55.8","18130"
"593569","occ","","","62872","Abdounia","genus","34638","Late Paleocene","","58.7","55.8","18130"
"593570","occ","","","62872","Physogaleus","genus","34656","Late Paleocene","","58.7","55.8","18130"
"593571","occ","","","62872","Physogaleus","genus","34656","Late Paleocene","","58.7","55.8","18130"
"593572","occ","","","62872","Physogaleus","genus","34656","Late Paleocene","","58.7","55.8","18130"
"593574","occ","","","62872","Pristis","genus","34700","Late Paleocene","","58.7","55.8","18130"
"593575","occ","","","62872","Eotorpedo jaekeli","species","154649","Late Paleocene","","58.7","55.8","18130"
"593576","occ","","","62872","Trygon jaekeli","species","153968","Late Paleocene","","58.7","55.8","18130"
"593579","occ","","","62872","Myliobatis dixoni","species","132628","Late Paleocene","","58.7","55.8","18130"
"593580","occ","","","62872","Myliobatis","genus","34741","Late Paleocene","","58.7","55.8","18130"
"593581","occ","","","62872","Rhinoptera","genus","34745","Late Paleocene","","58.7","55.8","18130"
"593600","occ","","","48887","Notorynchus","genus","83105","Serravallian","","13.82","11.62","18094"
"593601","occ","","","48887","Echinorhinus blakei","species","83111","Serravallian","","13.82","11.62","18094"
"593606","occ","","","48887","Pteromylaeus","genus","83121","Serravallian","","13.82","11.62","18094"
"593607","occ","","","48887","Aetobatus","genus","34721","Serravallian","","13.82","11.62","18094"
"593608","occ","","","48887","Rhinoptera","genus","34745","Serravallian","","13.82","11.62","18094"
"593609","occ","","","48887","Plinthicus stenodon","species","83123","Serravallian","","13.82","11.62","18094"
"593610","occ","","","48887","Mobula","genus","34740","Serravallian","","13.82","11.62","18094"
"593611","occ","","","48887","Squatina","genus","34570","Serravallian","","13.82","11.62","18094"
"593612","occ","","","48887","Megascyliorhinus miocaenicus","species","83126","Serravallian","","13.82","11.62","18094"
"593613","occ","","","48887","Ginglymostoma","genus","34584","Serravallian","","13.82","11.62","18094"
"593614","occ","","","48887","Rhincodon","genus","34596","Serravallian","","13.82","11.62","18094"
"593615","occ","","","48887","Odontaspis cuspidata","species","80589","Serravallian","","13.82","11.62","18094"
"593616","occ","","","48887","Carcharias","genus","64190","Serravallian","","13.82","11.62","18094"
"593617","occ","","","48887","Odontaspis ferox","species","83148","Serravallian","","13.82","11.62","18094"
"593618","occ","","","48887","Odontaspis acutissima","species","97229","Serravallian","","13.82","11.62","18094"
"593619","occ","","","48887","Megachasma","genus","83152","Serravallian","","13.82","11.62","18094"
"593622","occ","","","48887","Cetorhinus","genus","34606","Serravallian","","13.82","11.62","18094"
"593623","occ","","","48887","Isurus oxyrhinchus","species","83168","Serravallian","","13.82","11.62","18094"
"593624","occ","","","48887","Carcharodon hastalis","species","80595","Serravallian","","13.82","11.62","18094"
"593625","occ","","","48887","Carcharodon subauriculatus","species","83172","Serravallian","","13.82","11.62","18094"
"593626","occ","","","48887","Carcharocles megalodon","species","80603","Serravallian","","13.82","11.62","18094"
"593627","occ","","","48887","Scyliorhinus","genus","34663","Serravallian","","13.82","11.62","18094"
"593628","occ","","","48887","Galeorhinus affinis","species","83178","Serravallian","","13.82","11.62","18094"
"593629","occ","","","48887","Hypogaleus","genus","83180","Serravallian","","13.82","11.62","18094"
"593630","occ","","","52582","Notorynchus","genus","83105","Zanclean","","5.333","3.6","18094"
"593631","occ","","","52582","Hexanchus","genus","34526","Zanclean","","5.333","3.6","18094"
"593632","occ","","","52582","Echinorhinus blakei","species","83111","Zanclean","","5.333","3.6","18094"
"593633","occ","","","52582","Squalus","genus","34562","Zanclean","","5.333","3.6","18094"
"593634","occ","","","52582","Isistius","genus","34548","Zanclean","","5.333","3.6","18094"
"593635","occ","","","52582","Pristis","genus","34700","Zanclean","","5.333","3.6","18094"
"593636","occ","","","52582","Pristis pectinatus","species","83115","Zanclean","","5.333","3.6","18094"
"593637","occ","","","52582","Raja","genus","34706","Zanclean","","5.333","3.6","18094"
"593639","occ","","","52582","Aetobatus","genus","34721","Zanclean","","5.333","3.6","18094"
"593640","occ","","","52582","Mobula","genus","34740","Zanclean","","5.333","3.6","18094"
"593641","occ","","","52582","Manta","genus","34738","Zanclean","","5.333","3.6","18094"
"593642","occ","","","52582","Squatina","genus","34570","Zanclean","","5.333","3.6","18094"
"593643","occ","","","52582","Carcharias taurus","species","83130","Zanclean","","5.333","3.6","18094"
"593644","occ","","","52582","Odontaspis cuspidata","species","80589","Zanclean","","5.333","3.6","18094"
"593645","occ","","","52582","Megachasma","genus","83152","Zanclean","","5.333","3.6","18094"
"593647","occ","","","52582","Parotodus benedenii","species","83166","Zanclean","","5.333","3.6","18094"
"593648","occ","","","52582","Isurus oxyrhinchus","species","83168","Zanclean","","5.333","3.6","18094"
"593649","occ","","","52582","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","18094"
"593650","occ","","","52582","Carcharodon hastalis","species","80595","Zanclean","","5.333","3.6","18094"
"593651","occ","","","52582","Lamna","genus","34615","Zanclean","","5.333","3.6","18094"
"593652","occ","","","52582","Carcharocles megalodon","species","80603","Zanclean","","5.333","3.6","18094"
"593653","occ","","","52582","Carcharodon carcharias","species","83173","Zanclean","","5.333","3.6","18094"
"593654","occ","","","52582","Scyliorhinus","genus","34663","Zanclean","","5.333","3.6","18094"
"593655","occ","","","52582","Galeorhinus affinis","species","83178","Zanclean","","5.333","3.6","18094"
"593656","occ","","","52582","Paragaleus","genus","34654","Zanclean","","5.333","3.6","18094"
"593657","occ","","","52582","Hemipristis serra","species","83182","Zanclean","","5.333","3.6","18094"
"593658","occ","","","52582","Galeocerdo cuvier","species","83185","Zanclean","","5.333","3.6","18094"
"593659","occ","","","52582","Carcharhinus leucas","species","83189","Zanclean","","5.333","3.6","18094"
"593660","occ","","","52582","Carcharhinus macloti","species","83191","Zanclean","","5.333","3.6","18094"
"593661","occ","","","52582","Carcharhinus obscurus","species","83193","Zanclean","","5.333","3.6","18094"
"593662","occ","","","52582","Carcharhinus perezi","species","83196","Zanclean","","5.333","3.6","18094"
"593663","occ","","","52582","Carcharhinus plumbeus","species","83198","Zanclean","","5.333","3.6","18094"
"593664","occ","","","52582","Negaprion brevirostris","species","288152","Zanclean","","5.333","3.6","18094"
"593665","occ","","","52582","Sphyrna lewini","species","83208","Zanclean","","5.333","3.6","18094"
"593666","occ","","","52582","Sphyrna media","species","83210","Zanclean","","5.333","3.6","18094"
"593667","occ","","","52582","Sphyrna zygaena","species","83211","Zanclean","","5.333","3.6","18094"
"593706","occ","","","48887","Mustelus","genus","34650","Serravallian","","13.82","11.62","18094"
"593707","occ","","","48887","Paragaleus","genus","34654","Serravallian","","13.82","11.62","18094"
"593708","occ","","","48887","Hemipristis serra","species","83182","Serravallian","","13.82","11.62","18094"
"593709","occ","","","48887","Galeocerdo","genus","34643","Serravallian","","13.82","11.62","18094"
"593710","occ","","","48887","Galeocerdo contortus","species","83184","Serravallian","","13.82","11.62","18094"
"593711","occ","","","48887","Carcharhinus","genus","34640","Serravallian","","13.82","11.62","18094"
"593712","occ","","","48887","Carcharhinus falciformis","species","83187","Serravallian","","13.82","11.62","18094"
"593713","occ","","","48887","Carcharhinus leucas","species","83189","Serravallian","","13.82","11.62","18094"
"593714","occ","","","48887","Carcharhinus perezi","species","83196","Serravallian","","13.82","11.62","18094"
"593715","occ","","","48887","Carcharhinus plumbeus","species","83198","Serravallian","","13.82","11.62","18094"
"593716","occ","","","48887","Rhizoprionodon","genus","34662","Serravallian","","13.82","11.62","18094"
"593717","occ","","","48887","Negaprion brevirostris","species","288152","Serravallian","","13.82","11.62","18094"
"593718","occ","","","48887","Triaenodon obesus","species","83203","Serravallian","","13.82","11.62","18094"
"593719","occ","","","48887","Sphyrna media","species","83210","Serravallian","","13.82","11.62","18094"
"593720","occ","","","48887","Sphyrna zygaena","species","83211","Serravallian","","13.82","11.62","18094"
"594202","occ","","","62890","Heterodontus","genus","34572","Early Eocene","","55.8","48.6","18130"
"594203","occ","","","62890","Ginglymostoma subafricanum","species","156495","Early Eocene","","55.8","48.6","18130"
"594204","occ","","","62890","Nebrius","genus","34587","Early Eocene","","55.8","48.6","18130"
"594205","occ","","","62890","Odontaspis","genus","34620","Early Eocene","","55.8","48.6","18130"
"594206","occ","","","62890","Odontaspis","genus","34620","Early Eocene","","55.8","48.6","18130"
"594207","occ","","","62890","Odontaspis winkleri","species","132648","Early Eocene","","55.8","48.6","18130"
"594208","occ","","","62890","Pseudodontaspis lauderdalensis","species","86142","Early Eocene","","55.8","48.6","18130"
"594209","occ","","","62890","Pseudodontaspis","genus","86141","Early Eocene","","55.8","48.6","18130"
"594210","occ","","","62890","Striatolamia macrota","species","66716","Early Eocene","","55.8","48.6","18130"
"594232","occ","","","62890","Cretolamna","genus","34608","Early Eocene","","55.8","48.6","18130"
"594233","occ","","","62890","Cretolamna","genus","34608","Early Eocene","","55.8","48.6","18130"
"594234","occ","","","62890","Galeus","genus","34645","Early Eocene","","55.8","48.6","18130"
"594235","occ","","","62890","Microscyliorhinus","genus","106725","Early Eocene","","55.8","48.6","18130"
"594236","occ","","","62890","Scyliorhinus","genus","34663","Early Eocene","","55.8","48.6","18130"
"594237","occ","","","62890","Galeorhinus","genus","83177","Early Eocene","","55.8","48.6","18130"
"594238","occ","","","62890","Galeorhinus","genus","83177","Early Eocene","","55.8","48.6","18130"
"594239","occ","","","62890","Abdounia","genus","34638","Early Eocene","","55.8","48.6","18130"
"594240","occ","","","62890","Abdounia","genus","34638","Early Eocene","","55.8","48.6","18130"
"594241","occ","","","62890","Physogaleus","genus","34656","Early Eocene","","55.8","48.6","18130"
"594250","occ","","","62890","Physogaleus","genus","34656","Early Eocene","","55.8","48.6","18130"
"594253","occ","","","62890","Eotorpedo","genus","34717","Early Eocene","","55.8","48.6","18130"
"594257","occ","","","62890","Myliobatis dixoni","species","132628","Early Eocene","","55.8","48.6","18130"
"594258","occ","","","62890","Archaeomanta melenhorsti","species","154062","Early Eocene","","55.8","48.6","18130"
"594259","occ","","","62890","Burnhamia daviesi","species","154725","Early Eocene","","55.8","48.6","18130"
"594260","occ","","","62890","Burnhamia fetahi","species","154726","Early Eocene","","55.8","48.6","18130"
"595526","occ","","","63093","Odontaspididae","family","63010","Campanian","","83.6","72.1","13610"
"595540","occ","","","63094","Odontaspididae","family","63010","Campanian","","83.6","72.1","13610"
"595682","occ","","","63106","Heterodontus","genus","34572","Bortonian","Kaiatan","43","36","13610"
"595683","occ","","","63106","Carcharias acutissima","species","97236","Bortonian","Kaiatan","43","36","13610"
"595684","occ","","","63106","Striatolamia macrota","species","66716","Bortonian","Kaiatan","43","36","13610"
"600689","occ","","F","63810","Kirkella","genus","155472","Blackhillsian","","478.6","471.8","18329"
"600696","occ","","F","63839","Kirkella","genus","155472","Blackhillsian","","478.6","471.8","18329"
"600719","occ","","F","63844","Kirkella","genus","155472","Blackhillsian","","478.6","471.8","18329"
"602782","occ","","","64142","Lamna","genus","34615","Late Campanian","","83.5","70.6","18396"
"606688","occ","","","7515","Selachii","unranked clade","80574","Late Campanian","","83.5","70.6","8814"
"608435","occ","","","65036","Pristis","genus","34700","Priabonian","","38","33.9","18727"
"608440","occ","","","65037","Lamnidae","family","80587","Burdigalian","","20.44","15.97","18729"
"608947","occ","","","65173","Selachii","unranked clade","80574","Rupelian","","33.9","28.1","18782"
"609393","occ","","","13366","Orectolobiformes","order","34573","Maastrichtian","","72.1","66","18800"
"609394","occ","","","13366","Cretolamna","genus","34608","Maastrichtian","","72.1","66","18800"
"609398","occ","","","65221","Hemiscyllium","genus","34585","Maastrichtian","","72.1","66","18800"
"609399","occ","","","65221","Cretolamna","genus","34608","Maastrichtian","","72.1","66","18800"
"609402","occ","","","65222","Plicatoscyllium","genus","90133","Early Maastrichtian","","70.6","66","18800"
"609404","occ","","","65222","Cretolamna biauriculata","species","153959","Early Maastrichtian","","70.6","66","18800"
"609405","occ","","","65222","Squalicorax","genus","34633","Early Maastrichtian","","70.6","66","18800"
"609406","occ","","","65222","Carcharias","genus","64190","Early Maastrichtian","","70.6","66","18800"
"609407","occ","","","65222","Lamniformes","order","34598","Early Maastrichtian","","70.6","66","18800"
"609409","occ","","","65222","Dalpiazia stromeri","species","96171","Early Maastrichtian","","70.6","66","18800"
"609412","occ","","","65223","Hemiscyllium","genus","34585","Early Maastrichtian","","70.6","66","18800"
"609413","occ","","","65223","Plicatoscyllium","genus","90133","Early Maastrichtian","","70.6","66","18800"
"609414","occ","","","65223","Odontaspididae","family","63010","Early Maastrichtian","","70.6","66","18800"
"609415","occ","","","65223","Lamnidae","family","80587","Early Maastrichtian","","70.6","66","18800"
"609416","occ","","","65223","Cretolamna","genus","34608","Early Maastrichtian","","70.6","66","18800"
"609417","occ","","","65223","Squalicorax","genus","34633","Early Maastrichtian","","70.6","66","18800"
"609422","occ","","","65223","Dalpiazia stromeri","species","96171","Early Maastrichtian","","70.6","66","18800"
"609425","occ","","","65224","Plicatoscyllium","genus","90133","Late Campanian","Early Maastrichtian","83.5","66","18800"
"609426","occ","","","65224","Pteroscyllium","genus","34661","Late Campanian","Early Maastrichtian","83.5","66","18800"
"609427","occ","","","65224","Scyliorhinus","genus","34663","Late Campanian","Early Maastrichtian","83.5","66","18800"
"609428","occ","","","65224","Youssoubatis","genus","34715","Late Campanian","Early Maastrichtian","83.5","66","18800"
"609431","occ","","","65225","Hexanchus","genus","34526","Early Eocene","","55.8","48.6","18800"
"609432","occ","","","65225","Heptranchias","genus","34525","Early Eocene","","55.8","48.6","18800"
"609434","occ","","","65225","Weltonia","genus","34535","Early Eocene","","55.8","48.6","18800"
"609437","occ","","","65225","Odontaspididae","family","63010","Early Eocene","","55.8","48.6","18800"
"609438","occ","","","65225","Pseudocarcharias","genus","246557","Early Eocene","","55.8","48.6","18800"
"609440","occ","","","65225","Megascyliorhinus","genus","34649","Early Eocene","","55.8","48.6","18800"
"609442","occ","","","32899","Hexanchus","genus","34526","Priabonian","","38","33.9","18800"
"609443","occ","","","32899","Heptranchias","genus","34525","Priabonian","","38","33.9","18800"
"609444","occ","","","32899","Centrophorus","genus","34538","Priabonian","","38","33.9","18800"
"609446","occ","","","32899","Brachaelurus","genus","34578","Priabonian","","38","33.9","18800"
"609447","occ","","","32899","Pararhincodon","genus","34593","Priabonian","","38","33.9","18800"
"609448","occ","","","32899","Carcharias","genus","64190","Priabonian","","38","33.9","18800"
"609449","occ","","","32899","Isurus","genus","34613","Priabonian","","38","33.9","18800"
"609450","occ","","","32899","Carcharocles","genus","34603","Priabonian","","38","33.9","18800"
"609453","occ","","","32899","Scyliorhinus","genus","34663","Priabonian","","38","33.9","18800"
"609454","occ","","","32899","Physogaleus","genus","34656","Priabonian","","38","33.9","18800"
"609455","occ","","","32899","Galeocerdo","genus","34643","Priabonian","","38","33.9","18800"
"609456","occ","","","32899","Carcharhinus","genus","34640","Priabonian","","38","33.9","18800"
"609457","occ","","","32899","Rhizoprionodon","genus","34662","Priabonian","","38","33.9","18800"
"609458","occ","","","32899","Hemipristis","genus","34646","Priabonian","","38","33.9","18800"
"609459","occ","","","32899","Hemigaleidae","family","83181","Priabonian","","38","33.9","18800"
"609460","occ","","","32899","Triakis","genus","34666","Priabonian","","38","33.9","18800"
"609465","occ","","","32899","Myliobatis","genus","34741","Priabonian","","38","33.9","18800"
"609466","occ","","","32899","Torpedo","genus","34719","Priabonian","","38","33.9","18800"
"609485","occ","","","65226","Carcharias","genus","64190","Lutetian","","47.8","41.3","18800"
"609486","occ","","","65226","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","18800"
