Species	Status	min_age	max_age
Carcharocles_megalodon	extinct	5.333	11.608
Prionace	extinct	5.333	11.608
Carcharodon	extinct	5.333	11.608
Notidanus_serratissimus	extinct	5.333	11.608
Squatina	extinct	5.333	11.608
Trygonidae	extinct	5.333	11.608
Isurus	extinct	2.588	23.03
Lamna	extinct	2.588	23.03
Rhinoptera	extinct	2.588	23.03
Trygonidae	extinct	3.6	5.333
Squatina	extinct	3.6	5.333
Squatina	extinct	3.6	5.333
Cretorectolobus_olsoni	extinct	70.6	83.5
Eucrossorhinus_microcuspidatus	extinct	70.6	83.5
Odontaspis	extinct	70.6	83.5
Carcharias	extinct	70.6	83.5
Archaeolamna	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Pseudohypolophus	extinct	93.5	105.3
Cretorectolobus	extinct	93.5	105.3
Myledaphus_bipartitus	extinct	70.6	83.5
Myliobatis	extinct	2.588	3.6
Cretodus	extinct	83.5	93.5
Carcharias	extinct	70.6	83.5
Cretolamna	extinct	70.6	83.5
Myledaphus	extinct	70.6	83.5
Myledaphus	extinct	70.6	83.5
Carcharodon_carcharias	extinct	7.246	11.62
Carcharocles_megalodon	extinct	7.246	11.62
Ginglymostoma_delfortriei	extinct	7.246	11.62
Hemipristis_serra	extinct	7.246	11.62
Galeocerdo_contortus	extinct	7.246	11.62
Galeocerdo_aduncus	extinct	7.246	11.62
Carcharhinus	extant	7.246	11.62
Sphyrna	extinct	7.246	11.62
Sphyrna_zygaena	extinct	7.246	11.62
Isistius	extinct	7.246	11.62
Myliobatis	extinct	7.246	11.62
Rhinoptera	extinct	7.246	11.62
Aetobatus_arcuatus	extinct	7.246	11.62
Squatina_hassei	extinct	70.6	83.5
Ginglymostoma_globidens	extinct	70.6	83.5
Odontaspis	extinct	70.6	83.5
Synodontaspis_holmdelensis	extinct	70.6	83.5
Cretolamna_appendiculata	extinct	70.6	83.5
Cretodus	extinct	70.6	83.5
Cretodus_borodini	extinct	70.6	83.5
Paranomotodon	extinct	70.6	83.5
Pseudocorax	extinct	70.6	83.5
Squalicorax_kaupi	extinct	70.6	83.5
Pseudohypolophus	extinct	70.6	83.5
Sclerorhynchus	extinct	70.6	83.5
Ginglymostoma	extinct	0.0117	0.126
Carcharias_taurus	extinct	0.0117	0.126
Galeocerdo_cuvier	extant	0.0117	0.126
Carcharhinus_leucas	extinct	0.0117	0.126
Carcharhinus_obscurus	extant	0.0117	0.126
Carcharhinus	extant	0.0117	0.126
Negaprion_brevirostris	extinct	0.0117	0.126
Rhizoprionodon	extinct	0.0117	0.126
Sphyrna	extinct	0.0117	0.126
Aetobatus_narinari	extinct	0.0117	0.126
Myliobatidae	extinct	0.0117	0.126
Carcharias_taurus	extinct	0.0117	0.126
Galeocerdo_cuvier	extant	0.0117	0.126
Carcharhinus_leucas	extinct	0.0117	0.126
Carcharhinus_obscurus	extant	0.0117	0.126
Carcharhinus	extant	0.0117	0.126
Negaprion_brevirostris	extinct	0.0117	0.126
Rhizoprionodon	extinct	0.0117	0.126
Aetobatus_narinari	extinct	0.0117	0.126
Myliobatidae	extinct	0.0117	0.126
Peyeria_libyca	extinct	93.5	99.6
Serratolamna	extinct	93.5	99.6
Onchus	extinct	393.3	419.2
Onchus	extinct	393.3	419.2
Onchus	extinct	393.3	419.2
Squalicorax_pristodontus	extinct	70.6	83.5
Galeorhinus	extinct	50.3	55.8
Onchus	extinct	393.3	407.6
Onchus	extinct	393.3	407.6
Squalicorax_pristodontus	extinct	70.6	83.5
Squalicorax_pristodontus	extinct	66	70.6
Odontaspis	extinct	66	70.6
Squatina	extinct	61.7	70.6
Squalicorax_pristodontus	extinct	61.7	70.6
Cretolamna_appendiculata	extinct	61.7	70.6
Odontaspis_cuspidata	extinct	61.7	70.6
Rhinoptera	extinct	61.7	70.6
Myliobatis_striatus	extinct	61.7	70.6
Odontaspis	extinct	61.6	66
Lamna_obliqua	extinct	61.6	66
Palaeocarcharodon	extinct	61.6	66
Onchus	extinct	407.6	419.2
Onchus	extinct	419.2	423
Igdabatis_indicus	extinct	66	72.1
Myledaphus_bipartitus	extinct	66	70.6
Onchopristis_dunklei	extinct	70.6	83.5
Squatirhina_americana	extinct	70.6	83.5
Sclerorhynchus	extinct	70.6	83.5
Pseudohypolophus	extinct	70.6	83.5
Squatina_hassei	extinct	70.6	83.5
Synodontaspis_holmdelensis	extinct	70.6	83.5
Odontaspis	extinct	70.6	83.5
Plicatolamna_arcuata	extinct	70.6	83.5
Cretodus_borodini	extinct	70.6	83.5
Paranomotodon	extinct	70.6	83.5
Squalicorax_kaupi	extinct	70.6	83.5
Squalicorax_pristodontus	extinct	70.6	83.5
Pseudocorax	extinct	70.6	83.5
Leptostyrax_bicuspidatus	extinct	100.5	113
Leptostyrax_bicuspidatus	extinct	100.5	113
Leptostyrax_bicuspidatus	extinct	100.5	113
Leptostyrax_bicuspidatus	extinct	100.5	113
Striatolamia_macrota	extinct	40.4	46.2
Carcharhinus	extant	40.4	46.2
Galeocerdo_eaglesomei	extinct	40.4	46.2
Pristis	extinct	40.4	46.2
Myliobatis	extinct	40.4	46.2
Rhinoptera	extinct	40.4	46.2
Carcharias	extinct	33.9	38
Abdounia	extinct	33.9	38
Galeocerdo_latidens	extinct	33.9	38
Hemipristis	extinct	33.9	38
Prionodon_gibbesi	extinct	33.9	38
Pristis	extinct	33.9	38
Myliobatis	extinct	33.9	38
Leptostyrax	extinct	109	112.03
Squatirhina_americana	extinct	66	70.6
Myledaphus_bipartitus	extinct	66	70.6
Onchus	extinct	252.3	268
Cretolamna_appendiculata	extinct	70.6	83.5
Cretolamna	extinct	70.6	83.5
Galeocerdo_latidens	extinct	37.2	48.6
Hexanchus	extinct	47.8	56
Carcharodon	extinct	47.8	56
Isurus_spallanzani	extinct	47.8	56
Galeocerdo_latidens	extinct	47.8	56
Galeocerdo	extinct	47.8	56
Galeocerdo	extinct	47.8	56
Hemipristis	extinct	47.8	56
Paragaleus	extinct	47.8	56
Galeorhinus	extinct	47.8	56
Selachii	extinct	47.8	56
Myliobatis	extinct	47.8	56
Galeocerdo_latidens	extinct	47.8	56
Odontaspis_acutissima	extinct	13.82	15.97
Odontaspis_cuspidata	extinct	13.82	15.97
Carcharocles_megalodon	extinct	13.82	15.97
Squalicorax	extinct	70.6	83.5
Plicatolamna_arcuata	extinct	70.6	83.5
Cretolamna_appendiculata	extinct	70.6	83.5
Odontaspis	extinct	70.6	83.5
Paranomotodon	extinct	70.6	83.5
Cretodus_borodini	extinct	70.6	83.5
Pseudohypolophus	extinct	70.6	83.5
Selachii	extinct	70.6	83.5
Aetobatus	extinct	0.0117	0.126
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Squatirhina_americana	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Squatirhina_americana	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Squatirhina_americana	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Carcharodon_hastalis	extinct	7.246	11.62
Notidanus_primigenius	extinct	7.246	11.62
Odontaspis	extinct	7.246	11.62
Isurus	extinct	7.246	11.62
Galeocerdo	extinct	7.246	11.62
Cetorhinus	extinct	7.246	11.62
Myledaphus	extinct	66	72.1
Odontaspis	extinct	5.333	11.608
Lamna	extinct	5.333	11.608
Odontaspis	extinct	5.333	11.608
Heterodontus	extinct	72.1	83.6
Squalicorax_kaupi	extinct	72.1	83.6
Pseudocorax_affinis	extinct	72.1	83.6
Squatina_hassei	extinct	72.1	83.6
Ginglymostoma_globidens	extinct	72.1	83.6
Cretolamna_appendiculata	extinct	72.1	83.6
Cretodus_borodini	extinct	72.1	83.6
Pseudohypolophus	extinct	72.1	83.6
Chiloscyllium	extinct	72.1	83.6
Ginglymostoma	extinct	72.1	83.6
Cretorectolobus	extinct	72.1	83.6
Odontaspis	extinct	72.1	83.6
Carcharias	extinct	72.1	83.6
Cretolamna	extinct	72.1	83.6
Squalicorax	extinct	72.1	83.6
Squatirhina	extinct	72.1	83.6
Squalicorax	extinct	72.1	83.6
Chiloscyllium	extinct	89.3	93.5
Cantioscyllium_decipiens	extinct	89.3	93.5
Cretolamna_appendiculata	extinct	89.3	93.5
Squalicorax_falcatus	extinct	89.3	93.5
Scyliorhinus	extinct	89.3	93.5
Myledaphus	extinct	72.1	83.6
Carcharias	extinct	93.5	99.6
Carcharias	extinct	93.5	99.6
Carcharias	extinct	93.5	99.6
Archaeolamna	extinct	93.5	99.6
Cretolamna_appendiculata	extinct	93.5	99.6
Pseudoisurus_tomosus	extinct	93.5	99.6
Cretodus_semiplicatus	extinct	93.5	99.6
Cretoxyrhina_mantelli	extinct	93.5	99.6
Squalicorax_curvatus	extinct	93.5	99.6
Squalicorax_falcatus	extinct	93.5	99.6
Hexanchus	extinct	66	83.6
Squatina_hassei	extinct	66	83.6
Squalus	extinct	66	83.6
Centrosqualus	extinct	66	83.6
Cretascymnus	extinct	66	83.6
Cretascymnus	extinct	66	83.6
Squalicorax_pristodontus	extinct	66	83.6
Squalicorax	extinct	66	83.6
Squalicorax	extinct	66	83.6
Pseudocorax_affinis	extinct	66	83.6
Cretolamna_appendiculata	extinct	66	83.6
Cretolamna_biauriculata	extinct	66	83.6
Cretolamna	extinct	66	83.6
Heterodontus	extinct	66	83.6
Pteroscyllium	extinct	66	83.6
Scyliorhinus	extinct	66	83.6
Triakidae	extinct	66	83.6
Triakidae	extinct	66	83.6
Sclerorhynchus	extinct	66	83.6
Hexanchus	extinct	66	83.6
Squalicorax_pristodontus	extinct	66	83.6
Squalicorax	extinct	66	83.6
Squalicorax	extinct	66	83.6
Pseudocorax_affinis	extinct	66	83.6
Cretolamna_biauriculata	extinct	66	83.6
Ginglymostoma	extinct	66	83.6
Cretolamna_appendiculata	extinct	66	89.3
Squalicorax_pristodontus	extinct	66	89.3
Pristidae	extinct	66	89.3
Myledaphus_bipartitus	extinct	70.6	83.5
Isurus	extinct	70.6	83.5
Squatirhina_americana	extinct	70.6	83.5
Squatirhina	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Squatirhina	extinct	70.6	83.5
Myledaphus_bipartitus	extinct	70.6	83.5
Carcharocles_megalodon	extinct	15.97	20.44
Rhinoptera_studeri	extinct	15.97	20.44
Aetobatus_arcuatus	extinct	15.97	20.44
Odontaspis_cuspidata	extinct	15.97	20.44
Pristis_aquitanicus	extinct	15.97	20.44
Carcharocles_megalodon	extinct	15.97	20.44
Carcharhinus_egertoni	extinct	15.97	20.44
Squalicorax_falcatus	extinct	72.1	83.6
Squalicorax_falcatus	extinct	72.1	83.6
Onchopristis_dunklei	extinct	66	83.6
Onchopristis_dunklei	extinct	66	85.8
Lamniformes	extinct	48.6	58.7
Orectolobus	extinct	48.6	58.7
Ginglymostoma	extinct	48.6	58.7
Plicatoscyllium	extinct	48.6	58.7
Scyliorhinidae	extinct	48.6	58.7
Myliobatidae	extinct	48.6	58.7
Isogomphodon	extinct	15.97	20.44
Rhizoprionodon	extinct	15.97	20.44
Galeorhinus	extinct	15.97	20.44
Plinthicus	extinct	5.333	23.03
Rhinoptera	extinct	5.333	23.03
Myledaphus	extinct	70.6	83.5
Cretolamna	extinct	66	70.6
Pseudocorax	extinct	66	70.6
Notidanodon	extinct	66	70.6
Palaeogaleus	extinct	66	70.6
Palaeocarcharodon	extinct	61.7	66
Odontaspis	extinct	61.7	66
Selachii	extinct	55.8	58.7
Selachii	extinct	66	72.1
Pseudocorax_affinis	extinct	83.6	86.3
Cretolamna_appendiculata	extinct	72.1	83.6
Lamna_serra	extinct	72.1	83.6
Lamna	extinct	72.1	83.6
Squalicorax_pristodontus	extinct	72.1	83.6
Cretolamna_appendiculata	extinct	72.1	83.6
Cretolamna_appendiculata	extinct	72.1	83.6
Selachii	extinct	41.3	47.8
Isurus	extinct	5.333	23.03
Glyphis	extinct	5.333	23.03
Galeocerdo	extinct	5.333	23.03
Hemipristis_serra	extinct	5.333	23.03
Myliobatis	extinct	5.333	23.03
Aetobatus	extinct	5.333	23.03
Isurus	extinct	66	100.5
Carcharias	extinct	66	100.5
Selachii	extinct	48.6	55.8
Selachii	extinct	48.6	55.8
Selachii	extinct	33.9	37.2
Lamna	extinct	38	41.3
Myliobatis	extinct	38	41.3
Aetobatus	extinct	38	41.3
Squalus	extinct	38	41.3
Carcharocles_megalodon	extinct	5.333	11.608
Heterodontus_woodwardi	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Notorhynchus	extinct	41.3	47.8
Squatina_prima	extinct	41.3	47.8
Squalus_minor	extinct	41.3	47.8
Hemiscyllium_bruxelliensis	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Scyliorhinus_pattersoni	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Lamna	extinct	41.3	47.8
Synodontaspis	extinct	41.3	47.8
Synodontaspis	extinct	41.3	47.8
Striatolamia_macrota	extinct	41.3	47.8
Isurus_praecursor	extinct	41.3	47.8
Galeorhinus	extinct	41.3	47.8
Galeorhinus	extinct	41.3	47.8
Galeorhinus_recticonus	extinct	41.3	47.8
Physodon_secundus	extinct	41.3	47.8
Physodon	extinct	41.3	47.8
Pristis_lathami	extinct	41.3	47.8
Trygon_jaekeli	extinct	41.3	47.8
Myliobatis_dixoni	extinct	41.3	47.8
Myliobatis_striatus	extinct	41.3	47.8
Myliobatis	extinct	41.3	47.8
Aetobatis_irregularis	extinct	41.3	47.8
Burnhamia_daviesi	extinct	41.3	47.8
Archaeomanta	extinct	41.3	47.8
Odontaspis	extinct	38	41.3
Heterodontus_woodwardi	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Heterodontus_woodwardi	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Heterodontus_woodwardi	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Heterodontus_woodwardi	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Heterodontus_woodwardi	extinct	41.3	47.8
Heterodontus	extinct	41.3	47.8
Notorhynchus	extinct	41.3	47.8
Hemiscyllium	extinct	41.3	47.8
Eostegostoma	extinct	41.3	47.8
Palaeorhincodon	extinct	41.3	47.8
Squatina_prima	extinct	41.3	47.8
Squalus_minor	extinct	41.3	47.8
Isistius	extinct	41.3	47.8
Abdounia	extinct	41.3	47.8
Abdounia	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Scyliorhinus_pattersoni	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Mustelus	extinct	41.3	47.8
Triakis	extinct	41.3	47.8
Isurus_praecursor	extinct	41.3	47.8
Isurolamna	extinct	41.3	47.8
Lamna	extinct	41.3	47.8
