"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat"
"428985","occ","","","41888","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428986","occ","","","41888","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428987","occ","","","41888","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428988","occ","","","41888","Galeorhinus recticonus","species","125033","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428989","occ","","","41888","Physodon secundus","species","125026","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428990","occ","","","41888","Physodon","genus","65806","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428993","occ","","","41888","Pristis lathami","species","100810","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428995","occ","","","41888","Trygon jaekeli","species","153968","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428997","occ","","","41888","Myliobatis dixoni","species","132628","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428998","occ","","","41888","Myliobatis striatus","species","132634","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"428999","occ","","","41888","Myliobatis","genus","34741","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"429000","occ","","","41888","Aetobatis irregularis","species","132643","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"429001","occ","","","41888","Burnhamia daviesi","species","154725","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"429002","occ","","","41888","Archaeomanta","genus","34724","Lutetian","","47.8","41.3","10858","","","-1.200500","50.796001"
"429130","occ","","","41909","Odontaspis","genus","34620","Bartonian","","41.3","38","11199","","","32.966667","29.250000"
"429867","occ","","","41998","Heterodontus woodwardi","species","124935","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429868","occ","","","41998","Heterodontus","genus","34572","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429985","occ","","","41989","Heterodontus woodwardi","species","124935","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429986","occ","","","41989","Heterodontus","genus","34572","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429987","occ","","","41989","Heterodontus","genus","34572","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429988","occ","","","41992","Heterodontus woodwardi","species","124935","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429989","occ","","","41992","Heterodontus","genus","34572","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429990","occ","","","41992","Heterodontus","genus","34572","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429991","occ","","","41994","Heterodontus woodwardi","species","124935","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429992","occ","","","41994","Heterodontus","genus","34572","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429993","occ","","","41994","Heterodontus","genus","34572","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429994","occ","","","41996","Heterodontus woodwardi","species","124935","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"429995","occ","","","41996","Heterodontus","genus","34572","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430016","occ","","","41989","Notorhynchus","genus","34529","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430017","occ","","","41989","Hemiscyllium","genus","34585","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430018","occ","","","41989","Eostegostoma","genus","34583","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430019","occ","","","41989","Palaeorhincodon","genus","34589","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430020","occ","","","41989","Squatina prima","species","156475","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430021","occ","","","41989","Squalus minor","species","154376","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430022","occ","","","41989","Isistius","genus","34548","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430023","occ","","","41989","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430024","occ","","","41989","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430025","occ","","","41989","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430026","occ","","","41989","Scyliorhinus pattersoni","species","276152","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430027","occ","","","41989","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430028","occ","","","41989","Mustelus","genus","34650","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430029","occ","","","41989","Triakis","genus","34666","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430031","occ","","","41989","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430032","occ","","","41989","Isurolamna","genus","34612","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430033","occ","","","41989","Lamna","genus","34615","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430034","occ","","","41989","Carcharodon auriculatus","species","205317","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430036","occ","","","41989","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430037","occ","","","41989","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430038","occ","","","41989","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430039","occ","","","41989","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430040","occ","","","41989","Odontaspis winkleri","species","132648","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430042","occ","","","41989","Galeorhinus recticonus","species","125033","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430043","occ","","","41989","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430045","occ","","","41989","Physogaleus","genus","34656","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430046","occ","","","41989","Galeocerdo latidens","species","154351","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430049","occ","","","41989","Pristis lathami","species","100810","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430050","occ","","","41989","Anoxypristis","genus","34676","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430051","occ","","","41989","Propristis schweinfurthi","species","86290","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430053","occ","","","41989","Trygon jaekeli","species","153968","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430056","occ","","","41989","Aetobatis irregularis","species","132643","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430057","occ","","","41989","Aetobatus","genus","34721","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430058","occ","","","41989","Rhinoptera","genus","34745","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430059","occ","","","41989","Myliobatis dixoni","species","132628","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430060","occ","","","41989","Myliobatis striatus","species","132634","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430061","occ","","","41989","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430062","occ","","","41989","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430063","occ","","","41989","Archaeomanta melenhorsti","species","154062","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430064","occ","","","41989","Burnhamia daviesi","species","154725","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430065","occ","","","41989","Burnhamia","genus","34727","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430066","occ","","","41992","Notorhynchus","genus","34529","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430067","occ","","","41992","Nebrius","genus","34587","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430068","occ","","","41992","Hemiscyllium","genus","34585","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430069","occ","","","41992","Eostegostoma","genus","34583","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430070","occ","","","41992","Palaeorhincodon","genus","34589","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430071","occ","","","41992","Squatina prima","species","156475","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430072","occ","","","41992","Squalus minor","species","154376","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430073","occ","","","41992","Isistius","genus","34548","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430074","occ","","","41992","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430075","occ","","","41992","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430076","occ","","","41992","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430077","occ","","","41992","Scyliorhinus pattersoni","species","276152","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430078","occ","","","41992","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430079","occ","","","41992","Mustelus","genus","34650","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430080","occ","","","41992","Triakis","genus","34666","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430082","occ","","","41992","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430083","occ","","","41992","Isurolamna","genus","34612","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430084","occ","","","41992","Lamna","genus","34615","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430086","occ","","","41992","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430087","occ","","","41992","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430088","occ","","","41992","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430089","occ","","","41992","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430090","occ","","","41992","Odontaspis winkleri","species","132648","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430092","occ","","","41992","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430093","occ","","","41992","Galeorhinus recticonus","species","125033","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430094","occ","","","41992","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430096","occ","","","41992","Physogaleus","genus","34656","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430097","occ","","","41992","Galeocerdo latidens","species","154351","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430100","occ","","","41992","Pristis lathami","species","100810","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430101","occ","","","41992","Anoxypristis","genus","34676","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430102","occ","","","41992","Propristis schweinfurthi","species","86290","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430104","occ","","","41992","Trygon jaekeli","species","153968","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430106","occ","","","41992","Aetobatis irregularis","species","132643","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430107","occ","","","41992","Aetobatus","genus","34721","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430108","occ","","","41992","Rhinoptera","genus","34745","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430109","occ","","","41992","Myliobatis dixoni","species","132628","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430110","occ","","","41992","Myliobatis striatus","species","132634","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430111","occ","","","41992","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430112","occ","","","41992","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430113","occ","","","41992","Archaeomanta melenhorsti","species","154062","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430114","occ","","","41992","Burnhamia daviesi","species","154725","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430115","occ","","","41992","Burnhamia","genus","34727","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430116","occ","","","41994","Notorhynchus","genus","34529","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430117","occ","","","41994","Eostegostoma","genus","34583","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430118","occ","","","41994","Squatina prima","species","156475","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430119","occ","","","41994","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430120","occ","","","41994","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430121","occ","","","41994","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430122","occ","","","41994","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430123","occ","","","41994","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430124","occ","","","41994","Isurolamna","genus","34612","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430125","occ","","","41994","Lamna","genus","34615","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430127","occ","","","41994","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430128","occ","","","41994","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430129","occ","","","41994","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430130","occ","","","41994","Odontaspis winkleri","species","132648","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430132","occ","","","41994","Galeorhinus recticonus","species","125033","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430133","occ","","","41994","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430134","occ","","","41994","Physogaleus","genus","34656","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430135","occ","","","41994","Galeocerdo latidens","species","154351","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430143","occ","","","41994","Pristis lathami","species","100810","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430144","occ","","","41994","Anoxypristis","genus","34676","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430146","occ","","","41994","Trygon jaekeli","species","153968","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430147","occ","","","41994","Aetobatis irregularis","species","132643","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430148","occ","","","41994","Aetobatus","genus","34721","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430149","occ","","","41994","Rhinoptera","genus","34745","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430150","occ","","","41994","Myliobatis dixoni","species","132628","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430151","occ","","","41994","Myliobatis striatus","species","132634","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430152","occ","","","41994","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430153","occ","","","41994","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430154","occ","","","41994","Burnhamia daviesi","species","154725","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430155","occ","","","41994","Burnhamia","genus","34727","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430212","occ","","","41996","Notorhynchus","genus","34529","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430213","occ","","","41996","Nebrius","genus","34587","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430214","occ","","","41996","Hemiscyllium","genus","34585","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430215","occ","","","41996","Eostegostoma","genus","34583","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430231","occ","","","41996","Isistius","genus","34548","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430232","occ","","","41996","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430233","occ","","","41996","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430234","occ","","","41996","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430235","occ","","","41996","Scyliorhinus pattersoni","species","276152","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430236","occ","","","41996","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430237","occ","","","41996","Triakis","genus","34666","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430238","occ","","","41996","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430239","occ","","","41996","Isurolamna","genus","34612","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430240","occ","","","41996","Lamna","genus","34615","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430242","occ","","","41996","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430243","occ","","","41996","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430244","occ","","","41996","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430245","occ","","","41996","Odontaspis winkleri","species","132648","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430247","occ","","","41996","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430248","occ","","","41996","Physogaleus","genus","34656","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430249","occ","","","41996","Galeocerdo latidens","species","154351","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430252","occ","","","41996","Pristis lathami","species","100810","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430254","occ","","","41996","Trygon jaekeli","species","153968","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430256","occ","","","41996","Aetobatis irregularis","species","132643","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430257","occ","","","41996","Myliobatis dixoni","species","132628","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430258","occ","","","41996","Myliobatis striatus","species","132634","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430259","occ","","","41996","Burnhamia daviesi","species","154725","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430260","occ","","","41996","Burnhamia","genus","34727","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430283","occ","","","41998","Notorhynchus","genus","34529","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430284","occ","","","41998","Nebrius","genus","34587","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430285","occ","","","41998","Eostegostoma","genus","34583","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430286","occ","","","41998","Squatina prima","species","156475","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430287","occ","","","41998","Squalus minor","species","154376","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430288","occ","","","41998","Isistius","genus","34548","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430289","occ","","","41998","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430290","occ","","","41998","Abdounia","genus","34638","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430291","occ","","","41998","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430292","occ","","","41998","Scyliorhinus pattersoni","species","276152","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430293","occ","","","41998","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430294","occ","","","41998","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430295","occ","","","41998","Isurus praecursor","species","124962","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430296","occ","","","41998","Isurolamna","genus","34612","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430297","occ","","","41998","Lamna","genus","34615","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430299","occ","","","41998","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430300","occ","","","41998","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430301","occ","","","41998","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430302","occ","","","41998","Carcharias","genus","64190","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430303","occ","","","41998","Odontaspis winkleri","species","132648","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430305","occ","","","41998","Galeorhinus recticonus","species","125033","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430306","occ","","","41998","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430307","occ","","","41998","Physogaleus","genus","34656","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430308","occ","","","41998","Galeocerdo latidens","species","154351","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430322","occ","","","41998","Pristis lathami","species","100810","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430323","occ","","","41998","Anoxypristis","genus","34676","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430325","occ","","","41998","Trygon jaekeli","species","153968","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430326","occ","","","41998","Aetobatis irregularis","species","132643","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430327","occ","","","41998","Rhinoptera","genus","34745","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430328","occ","","","41998","Myliobatis dixoni","species","132628","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430329","occ","","","41998","Myliobatis striatus","species","132634","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430330","occ","","","41998","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430331","occ","","","41998","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430332","occ","","","41998","Archaeomanta melenhorsti","species","154062","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430333","occ","","","41998","Burnhamia daviesi","species","154725","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430438","occ","","","41992","Selachii","unranked clade","80574","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430474","occ","","","41994","Selachii","unranked clade","80574","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430497","occ","","","41996","Selachii","unranked clade","80574","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430519","occ","","","41998","Selachii","unranked clade","80574","Lutetian","","47.8","41.3","11062","","","-1.211500","50.804001"
"430748","occ","","","42052","Propristis","genus","34702","Bartonian","","41.3","38","11199","","","31.250834","30.077778"
"430754","occ","","","42054","Carcharias (Aprionodon) frequens","species","275729","Bartonian","","41.3","38","11199","","","31.250834","30.077778"
"430755","occ","","","42054","Propristis schweinfurthi","species","86290","Bartonian","","41.3","38","11199","","","31.250834","30.077778"
"430757","occ","","","42054","Lamna","genus","34615","Bartonian","","41.3","38","11199","","","31.250834","30.077778"
"431534","occ","","","42144","Chrysophris","genus","68429","Priabonian","","38","33.9","11199","","","18.866667","28.883333"
"434427","occ","","","42446","Odontaspis","genus","34620","Paleocene","","66","56","11293","","","3.216667","6.900000"
"434428","occ","","","42446","Myliobatis","genus","34741","Paleocene","","66","56","11293","","","3.216667","6.900000"
"434606","occ","","","42459","Lamna obliqua","species","80600","Ypresian","","56","47.8","11298","","","50.114166","26.425833"
"434607","occ","","","42459","Lamna","genus","34615","Ypresian","","56","47.8","11298","","","50.114166","26.425833"
"434608","occ","","","42459","Lamna","genus","34615","Ypresian","","56","47.8","11298","","","50.114166","26.425833"
"434609","occ","","","42459","Lamna","genus","34615","Ypresian","","56","47.8","11298","","","50.114166","26.425833"
"434611","occ","","","42459","Hemipristis serra","species","83182","Ypresian","","56","47.8","11298","","","50.114166","26.425833"
"434612","occ","","","42459","Galeocerdo latidens","species","154351","Ypresian","","56","47.8","11298","","","50.114166","26.425833"
"434613","occ","","","42459","Sphyrna prisca","species","133193","Ypresian","","56","47.8","11298","","","50.114166","26.425833"
"434614","occ","","","42459","Myliobatis","genus","34741","Ypresian","","56","47.8","11298","","","50.114166","26.425833"
"435706","occ","","","42634","Odontaspis macrota","species","132649","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"435760","occ","","","42635","Odontaspis macrota","species","132649","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"436143","occ","","","42655","Myliobatis","genus","34741","Eocene","","56","33.9","11345","","","7.083333","6.833333"
"436160","occ","","","42655","Odontaspis","genus","34620","Eocene","","56","33.9","11345","","","7.083333","6.833333"
"436161","occ","","","42655","Ginglymostoma","genus","34584","Eocene","","56","33.9","11345","","","7.083333","6.833333"
"436309","occ","","","42662","Odontaspis macrota","species","132649","Late Eocene","","37.2","33.9","11344","","","-1.783333","50.849998"
"436312","occ","","","42664","Odontaspis macrota","species","132649","Ypresian","Lutetian","56","41.3","11344","","","-1.483333","50.916668"
"436920","occ","","","42639","Aprionodon","genus","100437","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"436922","occ","","","42639","Carcharodon auriculatus","species","205317","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"436923","occ","","","42639","Notidanus primigenius","species","80586","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"436924","occ","","","42639","Odontaspis macrota","species","132649","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"436927","occ","","","42639","Pristis bisulcatus","species","100811","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"437269","occ","","","42636","Aetobatus","genus","34721","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"437270","occ","","","42636","Aprionodon","genus","100437","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"437275","occ","","","42636","Galeocerdo","genus","34643","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"437276","occ","","","42636","Lamna vincenti","species","253566","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
"437279","occ","","","42636","Odontaspis acutissima","species","97229","Late Eocene","","37.2","33.9","11344","","","-1.691667","50.738888"
