"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Sirenia"
"Access Time","Fri 2017-02-03 23:50:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Sirenia"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0377"
"Records Found","796"
"Records Returned","796"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"475077","occ","","","47125","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Burdigalian","Messinian","20.44","5.333","12475"
"480382","occ","29575","","32991","Protosirenidae indet.","family","43290","","Protosirenidae","family","43290","Lutetian","","47.8","41.3","49848"
"480383","occ","","","28981","Protosiren n. sp. eothene","species","64856","","Protosiren eothene","species","64856","Lutetian","","47.8","41.3","12829"
"480652","occ","","","47928","Sirenia ? indet.","order","36873","","Sirenia","order","36873","Middle Eocene","","48.6","37.2","12833"
"480684","occ","","","47934","Protosiren n. sp. smithae","species","64801","","Protosiren smithae","species","64801","Priabonian","","38","33.9","12837"
"480705","occ","","","47947","Eosiren libyca","species","64985","","Eosiren libyca","species","64985","Priabonian","","38","33.9","26770"
"481306","occ","","","48072","n. gen. Anisosiren n. sp. pannonica","species","64832","","Anisosiren pannonica","species","64832","Lutetian","","47.8","41.3","12865"
"481459","occ","20711","","31183","Nanosiren ? sp.","genus","124901","","Nanosiren","genus","124901","Early Miocene","","23.03","15.97","27454"
"481547","occ","","","48096","Sirenia indet.","order","36873","","Sirenia","order","36873","Bartonian","","41.3","38","12879"
"481964","occ","","","48159","Halitherium n. sp. curvidens","species","86899","subjective synonym of","Prototherium veronense","species","65038","Middle Eocene","","48.6","37.2","36621"
"486102","occ","","","48638","Sirenia indet.","order","36873","","Sirenia","order","36873","Middle Eocene","","48.6","37.2","18745"
"486141","occ","","","48642","Halitherium aff. schinzi","species","86754","misspelling of, nomen dubium","Dugongidae","family","43286","Burdigalian","","20.44","15.97","12979"
"488662","occ","","","47425","Sirenia indet.","order","36873","","Sirenia","order","36873","Burdigalian","","20.44","15.97","13125"
"492103","occ","","","48656","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Serravallian","","13.82","11.62","13328"
"493583","occ","","","49871","Sirenia indet.","order","36873","","Sirenia","order","36873","Rupelian","","33.9","28.1","13398"
"493589","occ","","","49872","Sirenia indet.","order","36873","","Sirenia","order","36873","Chattian","","28.1","23.03","13398"
"493592","occ","","","16848","Sirenia indet.","order","36873","","Sirenia","order","36873","Bartonian","","41.3","38","13398"
"493593","occ","","","49873","Sirenia indet.","order","36873","","Sirenia","order","36873","Lutetian","","47.8","41.3","13399"
