"Records:"
"accepted_name","accepted_rank"
"Odontaspididae","family"
"Orectolobiformes","order"
"Nebrius","genus"
"Pristis lathami","species"
"Rhynchobatus pristinus","species"
"Dasyatis","genus"
"Myliobatis","genus"
"Carcharhinus","genus"
"Carcharhinus perseus","species"
"Carcharhinus","genus"
"Hemipristis serra","species"
"Myliobatis","genus"
"Carcharhinus","genus"
"Carcharhinus perseus","species"
"Carcharhinus","genus"
"Myliobatis","genus"
"Carcharhinus perseus","species"
"Carcharhinus","genus"
"Rhizoprionodon","genus"
"Sphyrna","genus"
"Pristis lathami","species"
"Rhinobatos","genus"
"Rhynchobatus pristinus","species"
"Dasyatis","genus"
"Aetobatus","genus"
"Myliobatis","genus"
"Carcharhinus perseus","species"
"Acrodus","genus"
"Acrodus","genus"
"Acrodus lateralis","species"
"Acrodus","genus"
"Acrodus","genus"
"Acrodus","genus"
"Acrodus","genus"
"Acrodus lateralis","species"
"Hybodontidae","family"
"Hybodontidae","family"
"Carcharhinus egertoni","species"
"Carcharhinus","genus"
"Hemipristis serra","species"
"Rhinoptera","genus"
"Hypolophodon sylvestris","species"
"Carcharocles megalodon","species"
"Carcharodon hastalis","species"
"Changxingselache wangi","species"
"Changxingselache wangi","species"
"Hybodontoidea","superfamily"
"Hybodontoidea","superfamily"
"Hybodontidae","family"
"Sinacrodus donglingensis","species"
"Lissodus xiushuiensis","species"
"Neoselachii","unranked clade"
"Neoselachii","unranked clade"
"Notidanodon lanceolatus","species"
"Sphenodus","genus"
"Scapanorhynchus","genus"
"Squalus latidens","species"
"Sclerorhynchus","genus"
"Squalidae","family"
"Hexanchus","genus"
"Ptychodus","genus"
"Ptychodus latissimus","species"
"Sphenodus longidens","species"
"Sphenodus","genus"
"Odontaspis","genus"
"Scapanorhynchus rhaphiodon","species"
"Scapanorhynchus","genus"
"Cretolamna appendiculata","species"
"Plicatolamna","genus"
"Hexanchus","genus"
"Squalicorax","genus"
"Cretolamna appendiculata","species"
"Cretolamna","genus"
"Sphenodus longidens","species"
"Ptychodus mammillaris","species"
"Notidanodon","genus"
"Notorhynchus","genus"
"Cretolamna","genus"
"Squalicorax","genus"
"Paraorthacodus","genus"
"Striatolamia","genus"
"Isurus","genus"
"Lamna","genus"
"Carcharodon auriculatus","species"
"Carcharodon angustidens","species"
"Carcharodon","genus"
"Hexanchus","genus"
"Heterodontus","genus"
"Odontaspis","genus"
"Carcharodon hastalis","species"
"Isurus desori","species"
"Lamna","genus"
"Galeocerdo","genus"
"Negaprion","genus"
"Squatina","genus"
"Hexanchus","genus"
"Heterodontus","genus"
"Odontaspis","genus"
"Cetorhinus","genus"
"Isurus desori","species"
"Carcharodon angustidens","species"
"Galeorhinus","genus"
"Carcharhinus","genus"
"Galeocerdo","genus"
"Negaprion","genus"
"Squalus","genus"
"Squatina","genus"
"Myliobatis","genus"
"Hexanchus","genus"
"Odontaspis","genus"
"Cetorhinus maximus","species"
"Carcharodon hastalis","species"
"Isurus desori","species"
"Carcharocles megalodon","species"
"Galeocerdo aduncus","species"
"Carcharhinus","genus"
"Hemipristis serra","species"
"Negaprion","genus"
"Squatina","genus"
"Carcharodon hastalis","species"
"Carcharodon","genus"
"Hemipristis serra","species"
"Carcharhinus","genus"
"Negaprion","genus"
"Squatina","genus"
"Isurus","genus"
"Lamna","genus"
"Carcharocles megalodon","species"
"Carcharodon","genus"
"Otodus","genus"
"Xiphodolamia","genus"
"Carcharhinus","genus"
"Galeocerdo aduncus","species"
"Negaprion","genus"
"Squalus","genus"
"Myliobatis","genus"
"Chlamydoselachus","genus"
"Hexanchus","genus"
"Heptranchias","genus"
"Nebrius","genus"
"Odontaspis acutissima","species"
"Odontaspis","genus"
"Odontaspis cuspidata","species"
"Pseudocarcharias","genus"
"Galeus","genus"
"Alopias latidens","species"
"Alopias","genus"
"Alopias","genus"
"Cetorhinus","genus"
"Carcharocles megalodon","species"
"Isurus","genus"
"Isurus","genus"
"Isurus","genus"
"Isurus desori","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Hemipristis serra","species"
"Carcharhinus","genus"
"Carcharhinus","genus"
"Galeocerdo aduncus","species"
"Negaprion","genus"
"Negaprion","genus"
"Sphyrna","genus"
"Squalus","genus"
"Dalatias","genus"
"Pristiophorus","genus"
"Squatina","genus"
"Rhynchobatus","genus"
"Raja","genus"
"Dasyatis","genus"
"Dasyatis","genus"
"Aetobatus","genus"
"Rhinoptera","genus"
"Manta","genus"
"Mobula","genus"
"Carcharodon sulcidens","species"
"Carcharocles megalodon","species"
"Isurus","genus"
"Hexanchus","genus"
"Odontaspis acutissima","species"
"Cetorhinus","genus"
"Carcharodon hastalis","species"
"Isurus","genus"
"Isurus desori","species"
"Carcharocles megalodon","species"
"Hemipristis serra","species"
"Carcharhinus","genus"
"Galeorhinus affinis","species"
"Galeocerdo aduncus","species"
"Squalus","genus"
"Squatina","genus"
"Dasyatis","genus"
"Myliobatis","genus"
"Carcharodon carcharias","species"
"Carcharhinus","genus"
"Dalatias","genus"
"Heterodontus","genus"
"Isurus","genus"
"Isurus","genus"
"Pristiophorus","genus"
"Isurus","genus"
"Carcharhinus","genus"
"Galeocerdo","genus"
"Squatina","genus"
"Cetorhinus maximus","species"
"Isurus","genus"
"Carcharhinus","genus"
"Sphyrna zygaena","species"
"Dalatias","genus"
"Squalus","genus"
"Rajidae","family"
 species not entered","Carcharias"
"Odontaspis","genus"
"Carcharhinus","genus"
"Carcharocles megalodon","species"
"Parotodus benedeni","species"
"Isurus desori","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Carcharhinus priscus","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Hexanchus","genus"
"Dalatias","genus"
"Pristiophorus","genus"
"Rhinoptera","genus"
"Squatina","genus"
 species not entered","Carcharias"
 species not entered","Carcharias"
"Odontaspis","genus"
"Alopias superciliosus","species"
"Carcharocles megalodon","species"
"Isurus desori","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Hemipristis serra","species"
"Galeocerdo aduncus","species"
"Carcharhinus egertoni","species"
"Carcharhinus priscus","species"
"Carcharhinus","genus"
"Squalus","genus"
 species not entered","Carcharias"
"Carcharhinus egertoni","species"
"Carcharhinus priscus","species"
 species not entered","Carcharias"
 species not entered","Carcharias"
"Odontaspis","genus"
"Cetorhinus maximus","species"
"Carcharocles megalodon","species"
"Isurus desori","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Carcharhinus priscus","species"
"Carcharhinus","genus"
"Hexanchus","genus"
 species not entered","Carcharias"
"Carcharhinus priscus","species"
"Carcharocles megalodon","species"
"Isurus desori","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Carcharhinus egertoni","species"
"Hexanchus","genus"
"Squalus","genus"
"Pristiophorus","genus"
"Squatina","genus"
 species not entered","Carcharias"
"Carcharocles megalodon","species"
"Parotodus benedeni","species"
"Isurus desori","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Scyliorhinus","genus"
"Carcharhinus egertoni","species"
"Carcharhinus priscus","species"
"Carcharocles megalodon","species"
"Carcharhinus priscus","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Scyliorhinus","genus"
"Carcharocles megalodon","species"
"Isurus","genus"
"Carcharhinus priscus","species"
"Carcharhinus priscus","species"
"Carcharocles megalodon","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Carcharocles megalodon","species"
"Carcharodon hastalis","species"
"Isurus","genus"
"Carcharhinus priscus","species"
"Carcharhinidae","family"
"Carcharodon carcharias","species"
"Isurus oxyrhinchus","species"
"Carcharhinus","genus"
"Carcharocles megalodon","species"
"Carcharocles megalodon","species"
"Phoebodus","genus"
"Carcharocles megalodon","species"
"Carcharocles megalodon","species"
"Squalicorax pristodontus","species"
"Cretolamna","genus"
"Myliobatoidea","superfamily"
"Safrodus tozeri","species"
"Polyfaciodus pandus","species"
"Omanoselache halli","species"
"Omanoselache halli","species"
"Omanoselache","genus"
"Safrodus tozeri","species"
"Safrodus tozeri","species"
"Polyfaciodus pandus","species"
"Omanoselache halli","species"
"Safrodus tozeri","species"
"Polyfaciodus pandus","species"
"Omanoselache","genus"
"Safrodus tozeri","species"
"Omanoselache halli","species"
"Omanoselache","genus"
"Safrodus tozeri","species"
"Safrodus tozeri","species"
"Polyfaciodus pandus","species"
"Amelacanthus","genus"
"Safrodus tozeri","species"
"Polyfaciodus pandus","species"
"Omanoselache halli","species"
"Safrodus tozeri","species"
"Polyfaciodus pandus","species"
"Safrodus tozeri","species"
"Polyfaciodus pandus","species"
"Omanoselache halli","species"
"Hemipristis serra","species"
"Hemipristis","genus"
"Negaprion","genus"
"Galeocerdo aduncus","species"
"Rhizoprionodon","genus"
"Nebrius","genus"
"Rhynchobatus pristinus","species"
"Dasyatis","genus"
"Rhinoptera","genus"
"Aetobatus arcuatus","species"
"Selachii","unranked clade"
"Hybodontidae","family"
"Odontaspis cuspidata","species"
"Physogaleus","genus"
"Myliobatis","genus"
"Selachii","unranked clade"
"Selachii","unranked clade"
