"Records:"
"accepted_name","accepted_rank"
 species not entered","Chrysophris"
"Odontaspis","genus"
"Isurus desori","species"
"Isurus","genus"
"Carcharocles megalodon","species"
"Dasyatidae","family"
"Glickmanodus rarus","species"
"Polyacrodus","genus"
"Polyacrodus","genus"
"Carcharocles megalodon","species"
"Myledaphus","genus"
"Igdabatis","genus"
"Rhinoptera","genus"
"Hybodontidae","family"
"Hybodus huangnidanensis","species"
"Jiaodontus","genus"
"Eostegostoma","genus"
"Cantioscyllium","genus"
"Scapanorhynchus texanus","species"
"Cretolamna appendiculata","species"
"Cretoxyrhina mantelli","species"
"Squalicorax kaupi","species"
"Rhynchobatus","genus"
"Rhinobatos casieri","species"
"Rhinobatos","genus"
"Parapalaeobates pygmaeus","species"
"Pseudohypolophus","genus"
"Sclerorhynchus","genus"
"Squalus","genus"
"Isistius","genus"
"Squatina prima","species"
"Heterodontus","genus"
"Palaeorhincodon","genus"
"Jaekelotodus","genus"
"Odontaspis winkleri","species"
"Striatolamia macrota","species"
"Carcharias","genus"
"Isurus praecursor","species"
"Notorhynchus","genus"
"Cretolamna","genus"
"Carcharocles","genus"
"Scyliorhinus","genus"
"Galeorhinus","genus"
"Abdounia","genus"
"Abdounia","genus"
"Abdounia","genus"
"Galeocerdo latidens","species"
"Physogaleus","genus"
"Rhizoprionodon","genus"
"Rhinobatos steurbauti","species"
"Dasyatis","genus"
"Hypolophodon","genus"
"Glikmania","genus"
"Pristis","genus"
"Anoxypristis","genus"
"Coupatezia woutersi","species"
"Aetobatis irregularis","species"
"Aktaua","genus"
"Myliobatis","genus"
"Rhinoptera","genus"
"Archaeomanta melenhorsti","species"
"Burnhamia daviesi","species"
"Hybodus","genus"
"Hybodus","genus"
"Acrodus levis","species"
"Hybodontoidea","superfamily"
"Orectolobiformes","order"
"Cretolamna","genus"
"Dasyatidae","family"
"Rhombodus binkhorsti","species"
"Hemiscyllium","genus"
"Cretolamna","genus"
"Rhinobatos","genus"
"Dasyatidae","family"
"Plicatoscyllium","genus"
"Cretolamna biauriculata","species"
"Squalicorax","genus"
"Carcharias","genus"
"Lamniformes","order"
"Dalpiazia stromeri","species"
"Rhombodus binkhorsti","species"
"Dasyatidae","family"
"Hemiscyllium","genus"
"Plicatoscyllium","genus"
"Odontaspididae","family"
"Lamnidae","family"
"Cretolamna","genus"
"Squalicorax","genus"
"Rhinobatos","genus"
"Parapalaeobates","genus"
"Dalpiazia stromeri","species"
"Rhombodus binkhorsti","species"
"Dasyatoidea","superfamily"
"Plicatoscyllium","genus"
"Pteroscyllium","genus"
"Scyliorhinus","genus"
"Youssoubatis","genus"
"Hexanchus","genus"
"Heptranchias","genus"
"Mitsukurina","genus"
"Weltonia","genus"
"Pristiophorus","genus"
"Odontaspididae","family"
"Pseudocarcharias","genus"
"Megascyliorhinus","genus"
"Dasyatis","genus"
"Hexanchus","genus"
"Heptranchias","genus"
"Centrophorus","genus"
"Pristiophorus","genus"
"Brachaelurus","genus"
"Pararhincodon","genus"
"Carcharias","genus"
"Isurus","genus"
"Carcharocles","genus"
"Alopias","genus"
"Xiphodolamia","genus"
"Scyliorhinus","genus"
"Physogaleus","genus"
"Galeocerdo","genus"
"Carcharhinus","genus"
"Rhizoprionodon","genus"
"Hemipristis","genus"
"Hemigaleidae","family"
"Triakis","genus"
"Rhynchobatus","genus"
"Rhinobatos","genus"
"Dasyatis","genus"
"Gymnura","genus"
"Myliobatis","genus"
"Torpedo","genus"
"Carcharias","genus"
"Galeorhinus","genus"
"Abdounia","genus"
"Rhizoprionodon","genus"
"Scyliorhinus","genus"
"Rhinobatos","genus"
"Archaeomanta","genus"
"Burnhamia","genus"
"Merabatis","genus"
"Dasyatis","genus"
"Rhombodus","genus"
"Galeorhinus","genus"
"Dasyatis","genus"
"Myliobatis","genus"
"Carcharocles megalodon","species"
"Negaprion","genus"
"Sphyrna","genus"
"Scoliodon","genus"
"Carcharodon carcharias","species"
"Galeocerdo","genus"
"Isurus","genus"
"Myliobatis","genus"
"Carcharodon","genus"
"Igdabatis","genus"
"Polyacrodus","genus"
"Myliobatis","genus"
"Carcharhinus","genus"
"Galeorhinus","genus"
"Isurus","genus"
"Igdabatis indicus","species"
"Carcharodon","genus"
"Carcharodon carcharias","species"
"Odontaspis cuspidata","species"
"Carcharodon hastalis","species"
"Nebrius","genus"
"Hemipristis serra","species"
"Galeocerdo","genus"
"Carchariniformes","order"
"Carcharhinus priscus","species"
"Carcharhinus","genus"
"Carcharhinus","genus"
"Isogomphodon","genus"
"Rhynchobatus","genus"
"Pristis","genus"
"Dasyatis","genus"
"Pteromylaeus","genus"
"Myliobatis","genus"
"Aetobatus","genus"
"Rhinoptera","genus"
"Mobula","genus"
"Carcharodon carcharias","species"
"Isurus","genus"
"Negaprion","genus"
"Sphyrna","genus"
"Carcharodon carcharias","species"
"Isurus","genus"
"Dasyatis","genus"
"Hybodus","genus"
"Lissodus","genus"
"Heteroptychodus","genus"
"Heteroptychodus steinmanni","species"
"Cretolamna","genus"
"Nebrius","genus"
"Negaprion eurybathrodon","species"
"Carcharhinus","genus"
"Rhizoprionodon","genus"
"Dasyatis charlisae","species"
"Rhinoptera","genus"
"Myliobatis","genus"
"Odontorhytis pappenheimi","species"
"Carcharodon turgidus","species"
"Hybodus","genus"
"Polyacrodus","genus"
"Hubeiodus ziguiensis","species"
"Polyacrodus parvidens","species"
"Hybodus","genus"
"Parvodus","genus"
"Polyacrodus","genus"
"Hubeiodus ziguiensis","species"
"Carcharhinus","genus"
"Galeocerdo","genus"
"Hemipristis serra","species"
"Hypoprion","genus"
"Isurus","genus"
"Isurus","genus"
"Carcharocles megalodon","species"
"Alopias","genus"
"Sphyrna","genus"
"Carcharias","genus"
"Carcharhinus","genus"
"Scoliodon","genus"
"Isurus","genus"
"Isurus","genus"
"Myliobatis","genus"
"Aetobatus","genus"
"Carcharhinus","genus"
"Hypoprion","genus"
"Scoliodon","genus"
"Isurus","genus"
"Isurus","genus"
"Isurus","genus"
"Carcharocles megalodon","species"
"Carcharodon carcharias","species"
"Carcharodon","genus"
"Carcharias","genus"
"Carchariolamna","genus"
"Myliobatis","genus"
 obsolete variant of","Aetobatus"
"Raja","genus"
"Mobula","genus"
"Cretolamna","genus"
"Orthacanthus","genus"
"Raja","genus"
"Myliobatis","genus"
"Myliobatis","genus"
"Aetobatus","genus"
"Prionodon","genus"
"Aprionodon","genus"
"Hybodontidae","family"
"Cladodus","genus"
"Cladodus","genus"
"Cladodus","genus"
"Cladodus","genus"
"Glikmanius occidentalis","species"
"Glikmanius occidentalis","species"
"Petrodus","genus"
"Petrodus","genus"
"Manberodus fortis","species"
"Phoebodus latus","species"
"Manberodus fortis","species"
"Phoebodus latus","species"
"Subathunura casieri","species"
"Dasyatis rafinesquei","species"
"Subathunura casieri","species"
"Dasyatis rafinesquei","species"
"Squatina","genus"
"Ginglymostoma","genus"
"Dasyatis","genus"
"Gymnura","genus"
"Subathunura casieri","species"
"Myliobatis","genus"
"Myliobatidae","family"
"Dasyatis vicaryi","species"
"Onchopristis","genus"
"Ptychodus mahakalensis","species"
"Sclerorhynchus atavus","species"
"Rhinobatos grandis","species"
"Rhinobatos hakelensis","species"
"Rhinobatos intermedius","species"
"Rhinobatos latus","species"
"Rhinobatos","genus"
"Rhinobatos primarmatus","species"
"Rhinobatos tenuirostris","species"
"Rhinobatos whitfieldi","species"
"Rhombopterygia rajoides","species"
"Raja davisi","species"
"Raja expansa","species"
"Cyclobatis major","species"
"Cyclobatis major","species"
"Cyclobatis oligodactylus","species"
"Cyclobatis oligodactylus","species"
"Cyclobatis tuberculatus","species"
"Plicatolamna","genus"
"Mesiteia emiliae","species"
"Pararhincodon","genus"
"Scyliorhinus","genus"
"Plicatolamna","genus"
"Scyliorhinus","genus"
"Hexanchus","genus"
"Hexanchus","genus"
"Pristiophorus","genus"
"Cretascymnus","genus"
"Squalus latidens","species"
