"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Elasmobranchii&cc=ASI"
"Access Time","Fri 2017-02-03 22:50:36 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Elasmobranchii"
"","cc","ASI"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.239"
"Records Found","1367"
"Records Returned","1367"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"591778","occ","","","62573","n. gen. Glikmania n. sp. tamdyensa","species","86151","species not entered","Glikmania","genus","86151","Middle Eocene","","48.6","37.2","18064"
"591779","occ","","","62573","Pristis sp.","genus","34700","","Pristis","genus","34700","Middle Eocene","","48.6","37.2","18064"
"591780","occ","","","62573","Anoxypristis sp.","genus","34676","","Anoxypristis","genus","34676","Middle Eocene","","48.6","37.2","18064"
"591781","occ","","","62573","Coupatezia woutersi","species","111371","","Coupatezia woutersi","species","111371","Middle Eocene","","48.6","37.2","18064"
"591782","occ","","","62573","Aetobatus cf. irregularis","species","154701","recombined as","Aetobatis irregularis","species","132643","Middle Eocene","","48.6","37.2","18064"
"591783","occ","","","62573","n. gen. Aktaua n. sp. kizylkumensis","species","86152","species not entered","Aktaua","genus","86152","Middle Eocene","","48.6","37.2","18064"
"591790","occ","","","62573","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Middle Eocene","","48.6","37.2","18064"
"591791","occ","","","62573","Rhinoptera cf. sherborni","species","34745","species not entered","Rhinoptera","genus","34745","Middle Eocene","","48.6","37.2","18064"
"591792","occ","","","62573","Archaeomanta melenhorsti","species","154062","","Archaeomanta melenhorsti","species","154062","Middle Eocene","","48.6","37.2","18064"
"591793","occ","","","62573","Burnhamia daviesi","species","154724","","Burnhamia daviesi","species","154725","Middle Eocene","","48.6","37.2","18064"
"601697","occ","","","63924","Hybodus sp.","genus","34498","","Hybodus","genus","34498","Anisian","","247.2","242","18339"
"601710","occ","","","63945","Hybodus sp.","genus","34498","","Hybodus","genus","34498","Illyrian","","247.2","242","18339"
"606327","occ","","","64689","Acrodus levis","species","154451","","Acrodus levis","species","154451","Early Cenomanian","","99.6","93.5","38153"
"606332","occ","","","64689","Hybodontoidea indet.","superfamily","56962","","Hybodontoidea","superfamily","56962","Early Cenomanian","","99.6","93.5","16510"
"609393","occ","","","13366","Orectolobiformes indet.","order","34573","","Orectolobiformes","order","34573","Maastrichtian","","72.1","66","18800"
"609394","occ","","","13366","Cretolamna sp.","genus","34608","","Cretolamna","genus","34608","Maastrichtian","","72.1","66","18800"
"609395","occ","","","13366","Dasyatidae indet.","family","63613","","Dasyatidae","family","63613","Maastrichtian","","72.1","66","18800"
"609397","occ","","","13366","Rhombodus binkhorsti","species","111384","","Rhombodus binkhorsti","species","111384","Maastrichtian","","72.1","66","18800"
"609398","occ","","","65221","Hemiscyllium sp.","genus","34585","","Hemiscyllium","genus","34585","Maastrichtian","","72.1","66","18800"
"609399","occ","","","65221","Cretolamna sp.","genus","34608","","Cretolamna","genus","34608","Maastrichtian","","72.1","66","18800"
"609400","occ","","","65221","Rhinobatos sp.","genus","34708","","Rhinobatos","genus","34708","Maastrichtian","","72.1","66","18800"
"609401","occ","","","65221","Dasyatidae indet.","family","63613","","Dasyatidae","family","63613","Maastrichtian","","72.1","66","18800"
"609402","occ","","","65222","Plicatoscyllium sp.","genus","90133","","Plicatoscyllium","genus","90133","Early Maastrichtian","","70.6","66","18800"
"609404","occ","","","65222","Cretolamna biauriculata","species","153960","","Cretolamna biauriculata","species","153959","Early Maastrichtian","","70.6","66","18800"
"609405","occ","","","65222","Squalicorax bassanii","species","34633","species not entered","Squalicorax","genus","34633","Early Maastrichtian","","70.6","66","18800"
"609406","occ","","","65222","Carcharias sp.","genus","64190","","Carcharias","genus","64190","Early Maastrichtian","","70.6","66","18800"
"609407","occ","","","65222","Lamniformes indet.","order","34598","","Lamniformes","order","34598","Early Maastrichtian","","70.6","66","18800"
"609409","occ","","","65222","Dalpiazia stromeri","species","96171","","Dalpiazia stromeri","species","96171","Early Maastrichtian","","70.6","66","18800"
"609410","occ","","","65222","Rhombodus binkhorsti","species","111384","","Rhombodus binkhorsti","species","111384","Early Maastrichtian","","70.6","66","18800"
"609411","occ","","","65222","Dasyatidae indet.","family","63613","","Dasyatidae","family","63613","Early Maastrichtian","","70.6","66","18800"
"609412","occ","","","65223","Hemiscyllium sp.","genus","34585","","Hemiscyllium","genus","34585","Early Maastrichtian","","70.6","66","18800"
"609413","occ","","","65223","Plicatoscyllium sp.","genus","90133","","Plicatoscyllium","genus","90133","Early Maastrichtian","","70.6","66","18800"
"609414","occ","","","65223","Odontaspidae indet.","family","117650","obsolete variant of","Odontaspididae","family","63010","Early Maastrichtian","","70.6","66","18800"
"609415","occ","","","65223","Lamnidae indet.","family","80587","","Lamnidae","family","80587","Early Maastrichtian","","70.6","66","18800"
"609416","occ","","","65223","Cretolamna sp.","genus","34608","","Cretolamna","genus","34608","Early Maastrichtian","","70.6","66","18800"
"609417","occ","","","65223","Squalicorax bassani","species","34633","species not entered","Squalicorax","genus","34633","Early Maastrichtian","","70.6","66","18800"
"609418","occ","","","65223","Rhinobatos sp.","genus","34708","","Rhinobatos","genus","34708","Early Maastrichtian","","70.6","66","18800"
"609419","occ","","","65223","Parapalaeobates sp.","genus","34696","","Parapalaeobates","genus","34696","Early Maastrichtian","","70.6","66","18800"
"609422","occ","","","65223","Dalpiazia stromeri","species","96171","","Dalpiazia stromeri","species","96171","Early Maastrichtian","","70.6","66","18800"
"609423","occ","","","65223","Rhombodus binkhorsti","species","111384","","Rhombodus binkhorsti","species","111384","Early Maastrichtian","","70.6","66","18800"
"609424","occ","","","65223","Dasyatoidea indet.","superfamily","96192","","Dasyatoidea","superfamily","96192","Early Maastrichtian","","70.6","66","18800"
"609425","occ","","","65224","Plicatoscyllium sp.","genus","90133","","Plicatoscyllium","genus","90133","Late Campanian","Early Maastrichtian","83.5","66","18800"
"609426","occ","","","65224","Pteroscyllium sp.","genus","34661","","Pteroscyllium","genus","34661","Late Campanian","Early Maastrichtian","83.5","66","18800"
"609427","occ","","","65224","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Late Campanian","Early Maastrichtian","83.5","66","18800"
"609428","occ","","","65224","Youssoubatis sp.","genus","34715","","Youssoubatis","genus","34715","Late Campanian","Early Maastrichtian","83.5","66","18800"
"609431","occ","","","65225","Hexanchus sp.","genus","34526","","Hexanchus","genus","34526","Early Eocene","","55.8","48.6","18800"
"609432","occ","","","65225","Heptranchias sp.","genus","34525","","Heptranchias","genus","34525","Early Eocene","","55.8","48.6","18800"
"609433","occ","","","65225","Mitsukurina sp.","genus","34619","","Mitsukurina","genus","34619","Early Eocene","","55.8","48.6","18800"
"609434","occ","","","65225","Weltonia sp.","genus","34535","","Weltonia","genus","34535","Early Eocene","","55.8","48.6","18800"
"609436","occ","","","65225","Pristiophorus sp.","genus","34566","","Pristiophorus","genus","34566","Early Eocene","","55.8","48.6","18800"
"609437","occ","","","65225","Odontaspidae indet.","family","117650","obsolete variant of","Odontaspididae","family","63010","Early Eocene","","55.8","48.6","18800"
"609438","occ","","","65225","cf. Pseudocarcharias sp.","genus","246557","","Pseudocarcharias","genus","246557","Early Eocene","","55.8","48.6","18800"
"609440","occ","","","65225","Megascyliorhinus sp.","genus","34649","","Megascyliorhinus","genus","34649","Early Eocene","","55.8","48.6","18800"
"609441","occ","","","65225","Dasyatis sp.","genus","34729","","Dasyatis","genus","34729","Early Eocene","","55.8","48.6","18800"
"609442","occ","","","32899","Hexanchus sp.","genus","34526","","Hexanchus","genus","34526","Priabonian","","38","33.9","18800"
"609443","occ","","","32899","Heptranchias sp.","genus","34525","","Heptranchias","genus","34525","Priabonian","","38","33.9","18800"
"609444","occ","","","32899","Centrophorus sp.","genus","34538","","Centrophorus","genus","34538","Priabonian","","38","33.9","18800"
"609445","occ","","","32899","Pristiophorus sp.","genus","34566","","Pristiophorus","genus","34566","Priabonian","","38","33.9","18800"
"609446","occ","","","32899","Brachaelurus sp.","genus","34578","","Brachaelurus","genus","34578","Priabonian","","38","33.9","18800"
"609447","occ","","","32899","Pararhincodon sp.","genus","34593","","Pararhincodon","genus","34593","Priabonian","","38","33.9","18800"
"609448","occ","","","32899","Carcharias sp.","genus","64190","","Carcharias","genus","64190","Priabonian","","38","33.9","18800"
"609449","occ","","","32899","Isurus aff. praeccursor","species","34613","species not entered","Isurus","genus","34613","Priabonian","","38","33.9","18800"
"609450","occ","","","32899","Carcharocles aff. sokolovi","species","34603","species not entered","Carcharocles","genus","34603","Priabonian","","38","33.9","18800"
"609451","occ","","","32899","Alopias sp.","genus","34599","","Alopias","genus","34599","Priabonian","","38","33.9","18800"
"609452","occ","","","32899","Xiphodolamia sp.","genus","34636","","Xiphodolamia","genus","34636","Priabonian","","38","33.9","18800"
"609453","occ","","","32899","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Priabonian","","38","33.9","18800"
"609454","occ","","","32899","Physogaleus sp.","genus","34656","","Physogaleus","genus","34656","Priabonian","","38","33.9","18800"
"609455","occ","","","32899","Galeocerdo sp.","genus","34643","","Galeocerdo","genus","34643","Priabonian","","38","33.9","18800"
"609456","occ","","","32899","Carcharhinus aff. frequens","species","34640","species not entered","Carcharhinus","genus","34640","Priabonian","","38","33.9","18800"
"609457","occ","","","32899","Rhizoprionodon sp.","genus","34662","","Rhizoprionodon","genus","34662","Priabonian","","38","33.9","18800"
"609458","occ","","","32899","Hemipristis sp.","genus","34646","","Hemipristis","genus","34646","Priabonian","","38","33.9","18800"
"609459","occ","","","32899","Hemigaleidae indet.","family","83181","","Hemigaleidae","family","83181","Priabonian","","38","33.9","18800"
"609460","occ","","","32899","Triakis sp.","genus","34666","","Triakis","genus","34666","Priabonian","","38","33.9","18800"
"609461","occ","","","32899","Rhynchobatus sp.","genus","34710","","Rhynchobatus","genus","34710","Priabonian","","38","33.9","18800"
"609462","occ","","","32899","Rhinobatos sp.","genus","34708","","Rhinobatos","genus","34708","Priabonian","","38","33.9","18800"
"609463","occ","","","32899","Dasyatis sp.","genus","34729","","Dasyatis","genus","34729","Priabonian","","38","33.9","18800"
"609464","occ","","","32899","Gymnura sp.","genus","34732","","Gymnura","genus","34732","Priabonian","","38","33.9","18800"
"609465","occ","","","32899","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Priabonian","","38","33.9","18800"
"609466","occ","","","32899","Torpedo sp.","genus","34719","","Torpedo","genus","34719","Priabonian","","38","33.9","18800"
"609485","occ","","","65226","Carcharias koerti","species","64190","species not entered","Carcharias","genus","64190","Lutetian","","47.8","41.3","18800"
"609486","occ","","","65226","Galeorhinus sp.","genus","83177","","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","18800"
"609487","occ","","","65226","Abdounia sp.","genus","34638","","Abdounia","genus","34638","Lutetian","","47.8","41.3","18800"
"609488","occ","","","65226","Rhizoprionodon sp.","genus","34662","","Rhizoprionodon","genus","34662","Lutetian","","47.8","41.3","18800"
"609489","occ","","","65226","Scyliorhinus sp.","genus","34663","","Scyliorhinus","genus","34663","Lutetian","","47.8","41.3","18800"
"609490","occ","","","65226","Rhinobatos sp.","genus","34708","","Rhinobatos","genus","34708","Lutetian","","47.8","41.3","18800"
"609491","occ","","","65226","Archaeomanta sp.","genus","34724","","Archaeomanta","genus","34724","Lutetian","","47.8","41.3","18800"
"609492","occ","","","65226","Burnhamia sp.","genus","34727","","Burnhamia","genus","34727","Lutetian","","47.8","41.3","18800"
"609493","occ","","","65226","Merabatis sp.","genus","34739","","Merabatis","genus","34739","Lutetian","","47.8","41.3","18800"
"633261","occ","","","60397","Dasyatis sp.","genus","34729","","Dasyatis","genus","34729","Maastrichtian","","72.1","66","19590"
"633262","occ","","","60397","Rhombodus sp.","genus","34746","","Rhombodus","genus","34746","Maastrichtian","","72.1","66","19590"
"663399","occ","","","71438","Galeorhinus sp.","genus","83177","","Galeorhinus","genus","83177","Ypresian","","56","47.8","24154"
"663400","occ","","","71438","Dasyatis sp.","genus","34729","","Dasyatis","genus","34729","Ypresian","","56","47.8","24154"
"663401","occ","","","71438","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Ypresian","","56","47.8","24154"
"664445","occ","","","71537","Carcharodon megalodon","species","80601","recombined as","Carcharocles megalodon","species","80603","Tortonian","","11.62","7.246","24176"
"668267","occ","","","72085","Negaprion sp.","genus","34651","","Negaprion","genus","34651","Middle Miocene","","15.97","11.608","24392"
"668273","occ","","","72085","Sphyrna diplana","species","34664","species not entered","Sphyrna","genus","34664","Middle Miocene","","15.97","11.608","24392"
"668274","occ","","","72085","Scoliodon sorrakowah","species","100438","species not entered","Scoliodon","genus","100438","Middle Miocene","","15.97","11.608","24392"
"668275","occ","","","72085","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Middle Miocene","","15.97","11.608","24392"
"668336","occ","","","72084","Galeocerdo cuvieri","species","34643","species not entered","Galeocerdo","genus","34643","Early Miocene","","23.03","15.97","24392"
"668337","occ","","","72084","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","24392"
"668361","occ","","","72084","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Early Miocene","","23.03","15.97","24392"
"668362","occ","","","72084","Carcharodon sp.","genus","34605","","Carcharodon","genus","34605","Early Miocene","","23.03","15.97","24392"
"670951","occ","","","60170","Igdabatis sp.","genus","34736","","Igdabatis","genus","34736","Maastrichtian","","72.1","66","24531"
"693219","occ","","","39673","Polyacrodus ? sp.","genus","34508","","Polyacrodus","genus","34508","Toarcian","Aalenian","182.7","170.3","25145"
"703461","occ","","","48074","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Lutetian","","47.8","41.3","25499"
"703462","occ","29442","","48074","Carcharhinus balochensis","species","34640","species not entered","Carcharhinus","genus","34640","Lutetian","","47.8","41.3","48852"
"703463","occ","","","48074","Galeorhinus sp.","genus","83177","","Galeorhinus","genus","83177","Lutetian","","47.8","41.3","25499"
"703464","occ","","","48074","Isurus sp.","genus","34613","","Isurus","genus","34613","Lutetian","","47.8","41.3","25499"
"710592","occ","","","75493","Igdabatis indicus","species","111387","","Igdabatis indicus","species","111387","Maastrichtian","","72.1","66","26453"
"716082","occ","","","76844","Carcharodon arnoldi","species","34605","species not entered","Carcharodon","genus","34605","Early Pleistocene","","2.588","0.781","25983"
"716083","occ","","","76844","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Early Pleistocene","","2.588","0.781","25983"
"716084","occ","","","76844","Carcharias cuspidatus","species","170189","recombined as","Odontaspis cuspidata","species","80589","Early Pleistocene","","2.588","0.781","25983"
"716085","occ","","","76844","Isurus hastalis","species","83169","recombined as","Carcharodon hastalis","species","80595","Early Pleistocene","","2.588","0.781","25983"
"724327","occ","","","77783","Nebrius sp.","genus","34587","","Nebrius","genus","34587","Burdigalian","","20.44","15.97","23349"
"724328","occ","","","77783","Hemipristis cf. serra","species","83182","","Hemipristis serra","species","83182","Burdigalian","","20.44","15.97","23349"
"724329","occ","","","77783","Galeocerdo sp.","genus","34643","","Galeocerdo","genus","34643","Burdigalian","","20.44","15.97","23349"
"724330","occ","","","77783","Carchariniformes indet.","order","154870","","Carchariniformes","order","34637","Burdigalian","","20.44","15.97","23349"
"724331","occ","","","77783","Carcharhinus cf. priscus","species","280327","","Carcharhinus priscus","species","280327","Burdigalian","","20.44","15.97","23349"
"724332","occ","","","77783","Carcharhinus sp.","genus","34640","","Carcharhinus","genus","34640","Burdigalian","","20.44","15.97","23349"
"724333","occ","","","77783","Carcharhinus ex gr. longimanus","species","34640","species not entered","Carcharhinus","genus","34640","Burdigalian","","20.44","15.97","23349"
"724334","occ","","","77783","Isogomphodon cf. caunellensis","species","34647","species not entered","Isogomphodon","genus","34647","Burdigalian","","20.44","15.97","23349"
"724335","occ","","","77783","Rhynchobatus sp.","genus","34710","","Rhynchobatus","genus","34710","Burdigalian","","20.44","15.97","23349"
"724336","occ","","","77783","Pristis sp.","genus","34700","","Pristis","genus","34700","Burdigalian","","20.44","15.97","23349"
"724337","occ","","","77783","Dasyatis sp.","genus","34729","","Dasyatis","genus","34729","Burdigalian","","20.44","15.97","23349"
"724338","occ","","","77783","Pteromylaeus sp.","genus","83121","","Pteromylaeus","genus","83121","Burdigalian","","20.44","15.97","23349"
"724339","occ","","","77783","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Burdigalian","","20.44","15.97","23349"
"724340","occ","","","77783","Aetobatus sp.","genus","34721","","Aetobatus","genus","34721","Burdigalian","","20.44","15.97","23349"
"724341","occ","","","77783","Rhinoptera sp.","genus","34745","","Rhinoptera","genus","34745","Burdigalian","","20.44","15.97","23349"
"724342","occ","","","77783","Mobula sp.","genus","34740","","Mobula","genus","34740","Burdigalian","","20.44","15.97","23349"
"732439","occ","","","78614","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Middle Miocene","","15.97","11.608","26436"
"732440","occ","","","78614","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Middle Miocene","","15.97","11.608","26436"
"732967","occ","","","78641","Negaprion sp.","genus","34651","","Negaprion","genus","34651","Early Miocene","","23.03","15.97","26436"
"732968","occ","","","78641","Sphyrna zagaena","species","34664","species not entered","Sphyrna","genus","34664","Early Miocene","","23.03","15.97","26436"
"732969","occ","","","78641","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Early Miocene","","23.03","15.97","26436"
"732970","occ","","","78641","Isurus spallanzanii","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","26436"
"732972","occ","","","78641","Dasyatis sp.","genus","34729","","Dasyatis","genus","34729","Early Miocene","","23.03","15.97","26436"
"735717","occ","","","78978","Hybodus sp.","genus","34498","","Hybodus","genus","34498","Tithonian","Berriasian","152.1","139.8","26533"
"735718","occ","","","78978","Lissodus sp.","genus","34501","","Lissodus","genus","34501","Tithonian","Berriasian","152.1","139.8","26533"
"735719","occ","","","78978","Heteroptychodus sp.","genus","199147","","Heteroptychodus","genus","199147","Tithonian","Berriasian","152.1","139.8","26533"
"739427","occ","","","79489","Heteroptychodus steinmanni","species","262142","","Heteroptychodus steinmanni","species","262142","Barremian","Aptian","129.4","113","26659"
"745963","occ","","","79971","Cretolamna twiggsensis","species","34608","species not entered","Cretolamna","genus","34608","Eocene","","56","33.9","18054"
"745964","occ","","","79971","Nebrius obliquum","species","34587","species not entered","Nebrius","genus","34587","Eocene","","56","33.9","18054"
"745966","occ","","","79971","Negaprion eurybathrodon","species","83201","","Negaprion eurybathrodon","species","83200","Eocene","","56","33.9","18054"
"745967","occ","","","79971","Carcharhinus sp.","genus","34640","","Carcharhinus","genus","34640","Eocene","","56","33.9","18054"
"745968","occ","","","79971","Rhizoprionodon sp.","genus","34662","","Rhizoprionodon","genus","34662","Eocene","","56","33.9","18054"
"745969","occ","","","79971","Dasyatis charlisae","species","223927","","Dasyatis charlisae","species","223927","Eocene","","56","33.9","18054"
"745970","occ","","","79971","Rhinoptera sp.","genus","34745","","Rhinoptera","genus","34745","Eocene","","56","33.9","18054"
"745971","occ","","","79971","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Eocene","","56","33.9","18054"
"745972","occ","","","79971","Odontorhytis pappenheimi","species","275743","","Odontorhytis pappenheimi","species","275743","Eocene","","56","33.9","18054"
"758944","occ","","","81199","Carcharodon aff. turgidus","species","205325","","Carcharodon turgidus","species","205325","Chattian","","28.1","23.03","27364"
"790013","occ","","","85492","Hybodus sp.","genus","34498","","Hybodus","genus","34498","Middle Jurassic","","174.1","163.5","28885"
"790014","occ","","","85492","Polyacrodus sp.","genus","34508","","Polyacrodus","genus","34508","Middle Jurassic","","174.1","163.5","28885"
"790015","occ","","","85492","Hubeiodus ziguiensis","species","138553","","Hubeiodus ziguiensis","species","138553","Middle Jurassic","","174.1","163.5","28885"
"790017","occ","","","85493","Hybodus aff. parvidens","species","99866","recombined as","Polyacrodus parvidens","species","99866","Middle Jurassic","","174.1","163.5","28885"
"790018","occ","","","85493","Hybodus sp.","genus","34498","","Hybodus","genus","34498","Middle Jurassic","","174.1","163.5","28885"
"790019","occ","","","85493","cf. Parvodus sp.","genus","138554","","Parvodus","genus","138554","Middle Jurassic","","174.1","163.5","28885"
"790020","occ","","","85493","Polyacrodus sp.","genus","34508","","Polyacrodus","genus","34508","Middle Jurassic","","174.1","163.5","28885"
"790021","occ","","","85493","n. gen. Hubeiodus n. sp. ziguiensis","species","138553","","Hubeiodus ziguiensis","species","138553","Middle Jurassic","","174.1","163.5","28885"
"803460","occ","","","87485","Carcharhinus gangeticus","species","34640","species not entered","Carcharhinus","genus","34640","Early Miocene","","23.03","15.97","29458"
"803461","occ","","","87485","Galeocerdo cuvieri","species","34643","species not entered","Galeocerdo","genus","34643","Early Miocene","","23.03","15.97","29458"
"803462","occ","","","87485","Hemipristis serra","species","83182","","Hemipristis serra","species","83182","Early Miocene","","23.03","15.97","29458"
"803463","occ","","","87485","Hypoprion mectoti","species","125028","species not entered","Hypoprion","genus","125028","Early Miocene","","23.03","15.97","29458"
"803464","occ","","","87485","Isurus spaltanzeni","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803465","occ","","","87485","Isurus pagoda","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803466","occ","","","87485","Carcharodon megalodon","species","80601","recombined as","Carcharocles megalodon","species","80603","Early Miocene","","23.03","15.97","29458"
"803467","occ","","","87485","Alopias valpes","species","34599","species not entered","Alopias","genus","34599","Early Miocene","","23.03","15.97","29458"
"803468","occ","","","87485","Sphyrna diplana","species","34664","species not entered","Sphyrna","genus","34664","Early Miocene","","23.03","15.97","29458"
"803469","occ","","","87485","Carcharias trisuspidatus","species","64190","species not entered","Carcharias","genus","64190","Early Miocene","","23.03","15.97","29458"
"803477","occ","","","87489","Carcharhinus gangeticus","species","34640","species not entered","Carcharhinus","genus","34640","Zanclean","","5.333","3.6","29458"
"803478","occ","","","87489","Scoliodon sp.","genus","100438","","Scoliodon","genus","100438","Zanclean","","5.333","3.6","29547"
"803479","occ","","","87489","Isurus spalanzeni","species","34613","species not entered","Isurus","genus","34613","Zanclean","","5.333","3.6","29458"
"803480","occ","","","87489","Isurus pagoda","species","34613","species not entered","Isurus","genus","34613","Zanclean","","5.333","3.6","29458"
"803481","occ","","","87489","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Zanclean","","5.333","3.6","29547"
"803482","occ","","","87489","Aetobatis sp.","genus","83329","obsolete variant of","Aetobatus","genus","34721","Zanclean","","5.333","3.6","29458"
"803505","occ","","","42842","Carcharhinus gangeticus","species","34640","species not entered","Carcharhinus","genus","34640","Early Miocene","","23.03","15.97","29458"
"803506","occ","","","42842","Hypoprion mectoti","species","125028","species not entered","Hypoprion","genus","125028","Early Miocene","","23.03","15.97","29458"
"803507","occ","","","42842","Scoliodon sp.","genus","100438","","Scoliodon","genus","100438","Early Miocene","","23.03","15.97","29458"
"803508","occ","","","42842","Isurus spaltenzeni","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803509","occ","","","42842","Isurus pagoda","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803510","occ","","","42842","Isurus remeshi","species","34613","species not entered","Isurus","genus","34613","Early Miocene","","23.03","15.97","29458"
"803511","occ","","","42842","Carcharodon megalodon","species","80601","recombined as","Carcharocles megalodon","species","80603","Early Miocene","","23.03","15.97","51924"
"803512","occ","","","42842","Carcharodon carcharias","species","83174","","Carcharodon carcharias","species","83173","Early Miocene","","23.03","15.97","29458"
"803513","occ","","","42842","Carcharodon bigelowi","species","34605","species not entered","Carcharodon","genus","34605","Early Miocene","","23.03","15.97","29458"
"803514","occ","","","42842","Carcharias heptosuspidatus","species","64190","species not entered","Carcharias","genus","64190","Early Miocene","","23.03","15.97","29458"
"803515","occ","","","42842","Carchariolamna heroni","species","34602","species not entered","Carchariolamna","genus","34602","Early Miocene","","23.03","15.97","29458"
"803516","occ","","","42842","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Early Miocene","","23.03","15.97","29458"
"803517","occ","","","42842","Aetiobatis sp.","genus","125041","misspelling of, obsolete variant of","Aetobatus","genus","34721","Early Miocene","","23.03","15.97","29458"
"803518","occ","","","42842","Raja sp.","genus","34706","","Raja","genus","34706","Early Miocene","","23.03","15.97","29458"
"803519","occ","22086","","42842","Mobula sp.","genus","34740","","Mobula","genus","34740","Early Miocene","","23.03","15.97","30790"
"803689","occ","","","72267","Cretolamna sp.","genus","34608","","Cretolamna","genus","34608","Late Cretaceous","","100.5","66","24482"
"803690","occ","","","72267","Orthacanthus sp.","genus","55009","","Orthacanthus","genus","55009","Late Cretaceous","","100.5","66","24482"
"804309","occ","","","87721","Raja sp.","genus","34706","","Raja","genus","34706","Early Miocene","","23.03","15.97","11991"
"804310","occ","","","87721","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Early Miocene","","23.03","15.97","11991"
"804319","occ","","","65798","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Early Miocene","","23.03","15.97","11991"
"804320","occ","","","65798","Aetobatus sp.","genus","34721","","Aetobatus","genus","34721","Early Miocene","","23.03","15.97","11991"
"805371","occ","","","87489","Prionodon sp.","genus","103252","","Prionodon","genus","80610","Zanclean","","5.333","3.6","29547"
"805372","occ","","","87489","Aprionodon sp.","genus","100437","","Aprionodon","genus","100437","Zanclean","","5.333","3.6","29547"
"820591","occ","","","90233","Hybodontidae indet.","family","210086","","Hybodontidae","family","56538","Roadian","","272.3","268.8","30287"
"820800","occ","","","90282","Cladodus informal sp. 1","species","104838","species not entered","Cladodus","genus","104838","Moscovian","","315.2","307","30306"
"820801","occ","","","90282","Cladodus informal sp. 2","species","104838","species not entered","Cladodus","genus","104838","Moscovian","","315.2","307","30306"
"820802","occ","","","90282","Cladodus informal sp. 3","species","104838","species not entered","Cladodus","genus","104838","Moscovian","","315.2","307","30306"
"820803","occ","","","90282","Cladodus informal sp. 4","species","104838","species not entered","Cladodus","genus","104838","Moscovian","","315.2","307","30306"
"820823","occ","25757","","90286","Glikmanius occidentalis","species","149527","","Glikmanius occidentalis","species","149516","Roadian","","272.3","268.8","37873"
"820824","occ","25758","","90286","Glikmanius occidentalis","species","149527","","Glikmanius occidentalis","species","149516","Roadian","","272.3","268.8","37873"
"820825","occ","","F","90286","Petrodus sp.","genus","34506","","Petrodus","genus","34506","Roadian","","272.3","268.8","30307"
"820826","occ","","F","90286","Petrodus ? sp.","genus","34506","","Petrodus","genus","34506","Roadian","","272.3","268.8","30307"
"823191","occ","","","90626","n. gen. Manberodus n. sp. fortis","species","151496","","Manberodus fortis","species","151496","Early Frasnian","","383.7","382.4","30494"
"823192","occ","","","90626","Phoebodus cf. latus","species","151501","","Phoebodus latus","species","151501","Early Frasnian","","383.7","382.4","30494"
"823193","occ","","","90627","Manberodus fortis","species","151496","","Manberodus fortis","species","151496","Early Frasnian","","383.7","382.4","30494"
"823194","occ","","","90627","Phoebodus cf. latus","species","151501","","Phoebodus latus","species","151501","Early Frasnian","","383.7","382.4","30494"
"828495","occ","","","91312","Subathunura casieri","species","154354","","Subathunura casieri","species","154354","Ypresian","","56","47.8","30703"
